Month_Day,2018,2019,2020,2021,2022,2023,2024
05-23,224529,995967,985410,160463,641067,1752569.1,107256.266
05-24,1030556,2000530,985410,1709501,328220,3520262.2,215443.94
05-25,1030556,47878,1354063,410375,273731,2382697.2,145821.9
05-26,2481189,995967,1144446,1001102,179127,4366059.0,267209.34
05-27,2591526,1505501,985410,1001102,1730231,4560217.0,279091.34
05-28,1030556,1827491,318615,1636455,1198180,3215772.8,196808.14
05-29,1030556,860585,985410,2204343,1198180,3878904.5,237393.69
05-30,1286324,995967,153876,1305059,5734111,2296467.8,140544.03
05-31,421774,1792161,1343077,1001102,816859,3153602.8,193002.83
06-01,703570,995967,908810,558130,1198180,1752569.1,107256.266
06-02,2787360,53877,102000,678089,1198180,4904815.5,300182.06
06-03,2401072,995967,924133,649070,1198180,4225080.0,258580.48
06-04,1627907,43000,233917,880693,732844,2864570.5,175314.31
06-05,1030556,145803,1311267,1795806,1474452,3160015.2,193396.23
06-06,534235,397894,807514,611210,666718,1420955.6,86960.77
06-07,1360307,10374,328430,1213845,1198180,2393685.8,146494.52
06-08,3598011,1593326,928276,1001102,2919146,6331293.0,387485.8
06-09,1030556,826587,985410,445759,1198180,1813434.2,110981.37
06-10,806997,33113,1239409,224683,2610859,2180945.5,133474.05
06-11,1590813,105504,985410,196783,1060373,2799298.5,171319.16
06-12,4835,916661,174263,1470461,33434,2587518.2,158357.88
06-13,825046,995967,1735664,1001102,1198180,3054186.5,186918.58
06-14,1030556,482812,985410,534095,2993596,1813434.2,110981.37
06-15,1280016,1730771,1899715,911277,816956,3342861.0,204586.47
06-16,154873,995967,985410,432767,102566,1752569.1,107256.266
06-17,1030556,262391,37940,1062607,371839,1869833.5,114433.48
06-18,376422,2339132,2215330,1309072,277098,4116089.0,251910.4
06-19,2258137,86988,985410,1001102,1198180,3973562.8,243187.8
06-20,206230,1123371,985410,1330509,2908700,2341251.0,143285.62
06-21,1030556,525424,106262,1461574,475899,2571881.2,157400.45
06-22,1587242,995967,1144069,1103883,583735,2793015.0,170934.72
06-23,138000,995967,2170126,1367994,2111541,3818694.0,233708.73
06-24,672380,1915380,625379,156025,1946630,3370425.0,206273.1
06-25,580927,2079863,985410,390298,1198180,3659859.8,223987.9
06-26,1522914,254017,985410,1001102,2068514,2679819.2,164006.84
06-27,354151,668400,338816,794999,1198180,1398933.8,85612.7
06-28,729882,2358632,985410,1001102,1198180,4150399.8,254010.17
06-29,1030556,995967,1601478,1308869,1118273,2818064.0,172467.6
06-30,491886,185672,1084148,1994199,545951,3509120.5,214761.73
07-01,1030556,266878,1481618,341190,1986833,2607152.0,159559.16
07-02,343929,995967,1063588,1519759,2386754,2674267.0,163667.05
07-03,721862,995967,985410,753561,287116,1752569.1,107256.266
07-04,635614,162940,223800,120809,1198180,1118469.5,68447.64
07-05,1849462,1216573,985410,1001102,1572461,3254432.0,199174.52
07-06,410929,1877885,470811,1001102,348147,3304447.5,202235.45
07-07,1030556,517177,772192,644112,1198180,1813434.2,110981.37
07-08,2271569,2634044,1191553,2014225,1198180,4635033.0,283670.44
07-09,1466534,995967,2505064,2875213,205556,5059407.5,309644.6
07-10,853516,1753099,1199043,1001102,2504648,3084866.2,188796.8
07-11,265174,995967,241137,312693,7169,1752569.1,107256.266
07-12,2101044,995967,985410,1001102,3012812,3697132.0,226268.84
07-13,1030556,995967,975980,795646,441931,1813434.2,110981.37
07-14,890793,995967,1963444,1877828,1198180,3455004.2,211450.25
07-15,1384564,1245311,31752,1107547,26000,2436370.2,149106.56
07-16,271203,1461359,705290,1001102,1198180,2571502.8,157377.6
07-17,2128496,557998,985410,737021,1023180,3745438.5,229224.78
07-18,1030556,1149233,985410,106877,1322027,2022266.5,123762.54
07-19,1030556,1996587,985410,606083,579959,3513324.0,215018.84
07-20,2087643,110000,415950,2777052,1556266,4886679.5,299072.06
07-21,300786,948107,2623328,19200,1344181,4616178.0,282516.03
07-22,1030556,390052,3059067,91510,48260,5382931.0,329443.66
07-23,794480,14000,116627,1358221,1479618,2390014.2,146269.62
07-24,1065470,474624,985410,91875,1198180,1874871.4,114741.266
07-25,1427245,2541134,1378481,1224813,1720431,4471543.5,273664.4
07-26,1030556,995967,985410,161947,1044105,1813434.2,110981.37
07-27,15000,552862,195342,1007219,1071306,1772369.4,108467.84
07-28,1030556,740463,1247923,302473,1198180,2195927.0,134390.97
