Month_Day,2018,2019,2020,2021,2022,2023
12-13,1577389,976204,985410,542694,1198180,425381.7
12-14,1658727,995967,232187,3466336,383748,934781.06
12-15,1030556,170426,244856,887390,3488779,277914.8
12-16,1030556,3601666,967871,1001102,54200,971275.6
12-17,1530251,995967,751870,1001102,1157229,412669.6
12-18,1765062,285767,985410,1001102,410130,475991.84
12-19,174369,995967,2185577,617646,1363541,589393.3
12-20,1030556,666645,179996,149415,1198180,277914.8
12-21,1241728,511703,391474,1957493,2467849,527884.94
12-22,594721,995967,248608,1574834,1198180,424692.56
12-23,1030556,1871252,1462512,1001102,82256,504628.88
12-24,3122642,117747,606878,1224472,1198180,842095.3
12-25,103044,253650,959254,1004549,1086993,270901.16
12-26,1030556,2004698,1433966,1001102,1408096,540616.44
12-27,125924,643626,985410,2648166,1669346,714140.8
12-28,2477337,995967,3430383,1001102,1113987,925084.75
12-29,1030556,392141,985410,966369,278274,277914.8
12-30,1030556,1054901,134188,178873,416466,284479.53
12-31,903441,1088381,985410,1001102,1218553,293509.0
