2015,2016,2017,2018,2019,2020,2021,2022,2023
63634,0,0,20661,0,8240,6425,0,15636
368000,0,0,0,0,224000,3572526,1170000,802000
1310,1625,1075,0,0,0,2800,0,0
94264,383521,254299,180245,197350,0,14000,0,0
253694,156720,181943,253151,270034,238205,297257,298590,398062
423,0,0,0,0,0,0,15000,0
139500,189521,122600,97521,125718,72676,158641,58391,47641
305,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0
14201,1195,0,0,0,0,0,0,0
10036448,12297164,12753404,15195731,18198674,15174140,21613851,21753085,15125840
56224,109637,62338,54721,22200,22976,0,0,0
892668,624528,108504,30000,0,0,0,0,0
500,3500,131,0,0,0,0,0,0
19202,27920,45004,43823,20401,23206,56187,51285,16078
26207,2089,23097,4113,2422,5019,1131,3013,2099
42593,63755,68299,115220,214620,254155,207588,79652,188951
7150,6850,0,0,0,0,0,0,0
20374,2520,0,0,0,0,0,0,0
698751,444411,332906,526816,533705,389956,953787,636410,489700
83268,168177,88617,7429,0,0,0,0,0
35578,222009,33715,0,0,36068,10589,365279,10955
12733,4032,0,0,0,0,0,0,0
17196,32593,13464,0,13097,9572,0,0,0
209148,1969098,2345382,891400,459250,182542,177286,514000,2318325
380800,1116785,2735846,1901060,3155069,2089040,4144846,5595181,1209471
2550,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0
673,937,0,0,0,0,0,0,0
4777,0,0,0,0,0,0,0,0
2100,0,0,0,0,0,0,0,0
4156,160,1884,0,0,0,5743,24336,23200
19455,21040,19188,2625,0,0,0,0,0
453,3941,58479,19654,23060,11409,23991,34231,199375
1126,12638,17585,57198,21354,9690,0,0,15850
18051,0,0,0,0,0,0,0,0
58345,36025,50676,68447,123635,187772,107659,64693,59190
200782,323444,242920,289828,224462,484592,1046776,892011,494142
1025711,1191635,1975858,2177302,1603077,1925676,1713297,1968917,1931880
607660,631654,640570,1145128,1222181,1291428,1088561,940280,1466591
5319908,5890454,6303410,6034021,7056345,5459040,7295257,8110817,8914568
1051,36042,0,0,0,14056,136154,108738,80240
472618,658630,624573,837696,838857,622638,792204,780444,739328
48,0,0,0,0,225,0,0,0
925,950,1192,0,0,3000,0,0,0
5613,85473,139120,26399,15570,45971,44887,13230,49044
78111,7980,10761,3102,30460,2970,0,0,0
92456,203859,94244,151394,76823,85381,48660,17550,0
21414,45613,7571,0,7497,0,8161,0,0
15887,17386,2342,3200,740,0,1322,0,0
886832,1146108,1041544,449007,116411,0,0,0,177573
35874,0,24684,35365,87075,104408,257905,79068,0
1580,3888,0,0,0,0,0,12,0
356920,325700,421164,368550,250700,160372,621494,733560,511870
1750,0,0,0,0,0,0,0,0
2079372,1709738,1532460,1493552,1720703,4568320,3250417,3518061,2290801
19310,30145,14774,7895,1284,0,0,0,0
20974,18317,10179,11844,11765,8817,34088,0,0
8584,0,0,0,0,0,0,0,0
23072,22610,22300,23951,23566,0,0,0,0
6640,0,0,0,0,11983,0,0,0
23362,8489,0,0,0,0,0,0,0
1025,0,0,1918,7745,0,5249,0,0
1963,2237,0,10104,2263,2522,21212,60390,48326
