Month_Day,2018,2019,2020,2021,2022,2023
07-06,410929,1877885,470811,1001102,348147,469873.2048711538
07-07,1030556,517177,772192,644112,1198180,1125165.26400722
07-08,2271569,2634044,1191553,2014225,1198180,1212940.5171312673
07-09,1466534,995967,2505064,2875213,205556,250369.4703025025
07-10,853516,1753099,1199043,1001102,2504648,2136855.6446888717
07-11,265174,995967,241137,312693,7169,279173.27429275855
07-12,2101044,995967,985410,1001102,3012812,2547101.78318028
07-13,1030556,995967,975980,795646,441931,646307.4176120904
07-14,890793,995967,1963444,1877828,1198180,1359705.5995343581
07-15,1384564,1245311,31752,1107547,26000,119383.90330257779
07-16,271203,1461359,705290,1001102,1198180,1323814.9710221225
07-17,2128496,557998,985410,737021,1023180,1078146.9106306345
07-18,1030556,1149233,985410,106877,1322027,1134680.0555095796
07-19,1030556,1996587,985410,606083,579959,709040.6299063622
07-20,2087643,110000,415950,2777052,1556266,1508113.8305790157
07-21,300786,948107,2623328,19200,1344181,1397661.3178814936
07-22,1030556,390052,3059067,91510,48260,133714.54125425522
07-23,794480,14000,116627,1358221,1479618,1411901.3821565327
07-24,1065470,474624,985410,91875,1198180,1290746.3838019876
07-25,1427245,2541134,1378481,1224813,1720431,1674602.1119537456
07-26,1030556,995967,985410,161947,1044105,893920.855128782
07-27,15000,552862,195342,1007219,1071306,922661.6685683368
07-28,1030556,740463,1247923,302473,1198180,1314802.8172106538
07-29,1595899,148413,145581,2405621,116000,199134.2927725535
07-30,181298,1516868,403387,1001102,1509348,1412665.6730810655
07-31,1842774,1790659,786211,72050,46424,2933.4512687881943
08-01,1504137,1939840,132474,613200,1292425,1324179.363217566
08-02,494192,248142,985410,153552,2701790,2401467.3917079
08-03,1030556,1688033,985410,1053242,518301,642352.1025360019
08-04,1030556,350293,452949,31752,1198180,1163429.0086932946
08-05,1512319,1592203,985410,87319,73927,245279.79037397797
08-06,50991,995967,1715022,1258893,1304588,1370461.3988562808
08-07,1141053,1744126,1327088,1001102,794796,858352.8360976619
08-08,249906,995967,1805132,694112,1982668,1828368.7140355683
08-09,203621,646170,736976,1001102,1262948,1168189.0478820354
08-10,183259,2136348,1312861,83000,1198180,1132575.9346472784
08-11,1030556,1360447,2079704,154181,1589140,1669903.1912276233
08-12,1030556,918005,149043,1001102,130337,460282.3043216313
08-13,250651,995967,1686456,1001102,1198180,1154385.4257658937
08-14,2809531,1562233,985410,374371,1397685,1467262.9478929017
08-15,182762,995967,81425,2250345,109140,175904.3474647306
08-16,1030556,2008845,1563185,254785,1000240,1266546.720426241
08-17,1490020,995967,985410,542978,2591653,2117546.284027396
08-18,1030556,167724,309225,1232847,1198180,1422181.1094686105
08-19,545365,738924,985410,1767985,535954,669390.2950400615
08-20,229054,2152931,985410,263587,245116,476095.75828776625
08-21,144986,109699,2005251,1421332,1198180,1214298.6970928875
08-22,105200,870185,1423800,922886,2347883,2140658.5995258964
08-23,11532,2581136,445413,1001102,934059,986531.7884909484
08-24,1030556,995967,693932,323155,1767938,1489176.1304182124
08-25,836328,266229,985410,799402,692267,967733.2674964163
08-26,78000,90277,789389,323623,1198180,1176479.677575744
08-27,983630,995967,46182,1001102,221047,370388.1036236292
08-28,787922,2088198,1517943,184925,1639211,1523181.6072781784
08-29,113473,1371241,985410,1687704,1198180,1418831.1396106477
08-30,1030556,1721775,274471,1001102,4243153,3431438.6182443625
08-31,1581838,813114,2050034,1280352,1198180,1161459.4820956578
09-01,835290,995967,985410,1001102,1198180,1088777.1786011031
09-02,1452479,995967,985410,1001102,1198180,1317850.885785933
09-03,1127602,158098,708148,1222897,1982907,1884905.3949369998
09-04,277265,2602408,985410,801358,1132502,1076425.0752746323
09-05,283414,255446,972796,102292,2267886,2178556.72751798
09-06,1353565,995967,1954325,2300934,70083,218415.2872217925
09-07,840629,1857767,2006033,2031956,1694375,1552449.3039184716
09-08,108200,995967,985410,1001102,1198180,1309662.565622753
09-09,400244,1233784,286188,925660,1198180,1259008.2266286933
09-10,1917313,90000,985410,926953,678486,807554.3705032282
09-11,1617895,995967,77024,2768970,535008,476082.77885890193
09-12,654462,997333,1435168,367064,1145079,1064828.9749149592
09-13,15000,995967,2126695,1262482,556929,609118.2797330428
09-14,1007291,1334077,324009,1850005,1198180,1351398.5882259295
09-15,572486,701882,2621862,1389161,1198180,1110246.06977142
09-16,505107,924059,985410,414255,1198180,1113693.9491668127
09-17,1545056,513579,985410,1001102,1697516,1650412.6029182472
09-18,1697822,129518,441025,1001102,1198180,1079518.7847366438
09-19,563507,908119,985410,825057,1759496,1471861.7611493038
09-20,1030556,384294,985410,1243506,1562431,1263525.7313850163
09-21,477958,979495,1321452,2961713,938942,928902.7868336637
09-22,316352,709874,2122983,621987,1198180,1257077.0004465168
09-23,1030556,853624,414340,1001102,1198180,1073905.1262305586
09-24,870680,1282206,92743,347056,1502601,1432123.152854474
09-25,3198049,61920,1417076,611149,496917,526666.5554907402
09-26,1030556,995967,985410,1853309,1198180,1273309.8708860946
09-27,1030556,1877253,145319,1001102,2449697,2218326.801003171
09-28,936500,111977,345467,1336377,1198180,1290591.572410344
