Month_Day,2018,2019,2020,2021,2022,2023,2024
05-13,1030556,1205260,985410,1001102,1198180,1351143.501285097,1256794.2288077392
05-14,1635511,1689095,985410,1103407,100686,198031.1227800772,192398.30601596902
05-15,1457846,72452,80000,1001102,2582503,2478143.367736001,2467144.798579888
05-16,1030556,15000,1536693,2389491,1710925,1661196.0057927114,1657128.4155716477
05-17,1030556,424325,985410,1001102,1198180,1199754.830577328,1213049.6582976407
05-18,618354,1035713,1618502,1001102,335345,476807.2497843718,495430.7109391703
05-19,1724855,995967,1700775,980163,1198180,1154340.072223812,1144599.2222134953
05-20,32977,1269085,985410,502782,1172228,1223263.9462511286,1222596.7739054353
05-21,1152978,1797842,766116,797311,329540,302308.6274753625,310699.0227323675
05-22,1569985,324857,1932343,1001102,2225042,2240727.192290683,2225327.775003461
05-23,224529,995967,985410,160463,641067,693906.2549164677,692077.861223133
05-24,1030556,2000530,985410,1709501,328220,450745.755622745,441099.5855765798
05-25,1030556,47878,1354063,410375,273731,432526.6501002769,436114.0499095764
05-26,2481189,995967,1144446,1001102,179127,460039.65380706254,449361.5573213062
05-27,2591526,1505501,985410,1001102,1730231,1657748.635203674,1654801.7120255025
05-28,1030556,1827491,318615,1636455,1198180,1204325.9658455264,1216822.7500693293
05-29,1030556,860585,985410,2204343,1198180,950075.2118870406,988179.7255158254
05-30,1286324,995967,153876,1305059,5734111,5335881.784866799,5329224.1757758595
05-31,421774,1792161,1343077,1001102,816859,744355.6539996502,757090.9434637886
06-01,703570,995967,908810,558130,1198180,1135710.1212997816,1105929.9927471895
06-02,2787360,53877,102000,678089,1198180,1135982.0539215775,1142196.518205666
06-03,2401072,995967,924133,649070,1198180,1090248.7371309854,1106797.8351294145
06-04,1627907,43000,233917,880693,732844,793485.3375041881,792091.9139049735
06-05,1030556,145803,1311267,1795806,1474452,1417628.060072282,1412711.1460163856
06-06,534235,397894,807514,611210,666718,655645.7295385706,686723.6157002188
06-07,1360307,10374,328430,1213845,1198180,1267999.6546979526,1271125.9399363587
06-08,3598011,1593326,928276,1001102,2919146,2876414.88091598,2870149.9934694143
06-09,1030556,826587,985410,445759,1198180,1139667.3178684055,1147558.9237505775
06-10,806997,33113,1239409,224683,2610859,2463081.0780896554,2464617.5544310557
06-11,1590813,105504,985410,196783,1060373,1124890.8155316496,1109776.3414180845
06-12,4835,916661,174263,1470461,33434,73755.27380618267,78827.73971352493
06-13,825046,995967,1735664,1001102,1198180,1041913.2452959002,1066531.8299926864
06-14,1030556,482812,985410,534095,2993596,2576647.435936159,2557759.12355345
06-15,1280016,1730771,1899715,911277,816956,897288.8334423933,904030.5594769176
06-16,154873,995967,985410,432767,102566,347192.9765575442,363207.69108837505
06-17,1030556,262391,37940,1062607,371839,387405.0367014488,397735.83422659896
06-18,376422,2339132,2215330,1309072,277098,354633.1533023075,359717.3829386515
06-19,2258137,86988,985410,1001102,1198180,1037653.939283606,1061257.4465994674
06-20,206230,1123371,985410,1330509,2908700,2722416.9490082148,2716147.026941291
06-21,1030556,525424,106262,1461574,475899,677367.1392888656,669569.4838979135
06-22,1587242,995967,1144069,1103883,583735,565538.9555418317,584204.5294743008
06-23,138000,995967,2170126,1367994,2111541,1975698.030943672,1987929.7384080414
06-24,672380,1915380,625379,156025,1946630,1861561.3477698013,1857902.689201482
06-25,580927,2079863,985410,390298,1198180,1054905.1926883212,1080303.114223534
06-26,1522914,254017,985410,1001102,2068514,1740448.6570410265,1789422.0860318406
06-27,354151,668400,338816,794999,1198180,1031271.597646276,1063215.718380851
06-28,729882,2358632,985410,1001102,1198180,1293258.8481451022,1271789.11035771
06-29,1030556,995967,1601478,1308869,1118273,1201186.1998809548,1160970.5734069382
06-30,491886,185672,1084148,1994199,545951,686523.3009140968,675829.6105747686
07-01,1030556,266878,1481618,341190,1986833,1825310.6467844076,1833642.4723968557
07-02,343929,995967,1063588,1519759,2386754,2046249.704025695,2058586.8384161652
07-03,721862,995967,985410,753561,287116,526447.3328506608,544744.8493095657
07-04,635614,162940,223800,120809,1198180,1289453.9388752591,1284800.5408022637
07-05,1849462,1216573,985410,1001102,1572461,1408691.4983767285,1405750.8607818345
07-06,410929,1877885,470811,1001102,348147,469873.2048711538,476007.6673848755
07-07,1030556,517177,772192,644112,1198180,1125165.26400722,1148819.8065863946
07-08,2271569,2634044,1191553,2014225,1198180,1212940.517131267,1206476.3221531033
07-09,1466534,995967,2505064,2875213,205556,250369.4703025025,245235.573980766
07-10,853516,1753099,1199043,1001102,2504648,2136855.644688872,2142536.310868123
07-11,265174,995967,241137,312693,7169,279173.2742927585,272121.9272708914
07-12,2101044,995967,985410,1001102,3012812,2547101.78318028,2553059.413330221
07-13,1030556,995967,975980,795646,441931,646307.4176120904,674751.0313649165
07-14,890793,995967,1963444,1877828,1198180,1359705.599534358,1334949.2182884144
07-15,1384564,1245311,31752,1107547,26000,119383.9033025778,112322.5837814589
07-16,271203,1461359,705290,1001102,1198180,1323814.9710221223,1300896.0994114506
07-17,2128496,557998,985410,737021,1023180,1078146.9106306343,1071402.6507990514
07-18,1030556,1149233,985410,106877,1322027,1134680.0555095796,1162334.0789005207
07-19,1030556,1996587,985410,606083,579959,709040.6299063622,707187.7157704907
07-20,2087643,110000,415950,2777052,1556266,1508113.8305790157,1499927.6683339663
07-21,300786,948107,2623328,19200,1344181,1397661.3178814936,1393156.0155783591
07-22,1030556,390052,3059067,91510,48260,133714.54125425522,139364.18184414948
07-23,794480,14000,116627,1358221,1479618,1411901.3821565327,1407631.8424573778
07-24,1065470,474624,985410,91875,1198180,1290746.3838019876,1262015.7067425714
07-25,1427245,2541134,1378481,1224813,1720431,1674602.1119537456,1670993.5649195688
07-26,1030556,995967,985410,161947,1044105,893920.855128782,948811.9797310692
07-27,15000,552862,195342,1007219,1071306,922661.6685683368,931525.0961028417
07-28,1030556,740463,1247923,302473,1198180,1314802.8172106538,1299139.5526763462
07-29,1595899,148413,145581,2405621,116000,199134.2927725535,193707.67558334558
07-30,181298,1516868,403387,1001102,1509348,1412665.6730810655,1425661.88847406
07-31,1842774,1790659,786211,72050,46424,2933.4512687881943,2400.2946316914167
08-01,1504137,1939840,132474,613200,1292425,1324179.363217566,1328307.1151653733
08-02,494192,248142,985410,153552,2701790,2401467.3917079,2413814.879210149
08-03,1030556,1688033,985410,1053242,518301,642352.1025360019,681262.4078870945
08-04,1030556,350293,452949,31752,1198180,1163429.0086932946,1164036.2840439058
08-05,1512319,1592203,985410,87319,73927,245279.790373978,239203.8915232391
08-06,50991,995967,1715022,1258893,1304588,1370461.3988562808,1365176.1377523025
08-07,1141053,1744126,1327088,1001102,794796,858352.8360976619,855794.3900928069
08-08,249906,995967,1805132,694112,1982668,1828368.7140355683,1840152.566584271
08-09,203621,646170,736976,1001102,1262948,1168189.0478820354,1185768.773409969
08-10,183259,2136348,1312861,83000,1198180,1132575.9346472784,1143129.7132867377
08-11,1030556,1360447,2079704,154181,1589140,1669903.1912276233,1652068.7110653333
08-12,1030556,918005,149043,1001102,130337,460282.3043216313,472252.2731965283
08-13,250651,995967,1686456,1001102,1198180,1154385.4257658937,1167035.8961602638
08-14,2809531,1562233,985410,374371,1397685,1467262.9478929015,1455237.2606713567
08-15,182762,995967,81425,2250345,109140,175904.3474647306,181009.55179500533
08-16,1030556,2008845,1563185,254785,1000240,1266546.720426241,1239238.6048641633
08-17,1490020,995967,985410,542978,2591653,2117546.284027396,2124883.4611350005
08-18,1030556,167724,309225,1232847,1198180,1422181.1094686105,1385466.1088340117
08-19,545365,738924,985410,1767985,535954,669390.2950400615,663874.9363818304
08-20,229054,2152931,985410,263587,245116,476095.7582877663,453728.72442080895
08-21,144986,109699,2005251,1421332,1198180,1214298.6970928877,1215498.2980662226
08-22,105200,870185,1423800,922886,2347883,2140658.5995258964,2133283.454283974
08-23,11532,2581136,445413,1001102,934059,986531.7884909484,982239.4700238045
08-24,1030556,995967,693932,323155,1767938,1489176.1304182124,1498398.6064374633
08-25,836328,266229,985410,799402,692267,967733.2674964163,956870.0178212558
08-26,78000,90277,789389,323623,1198180,1176479.677575744,1189145.771695291
08-27,983630,995967,46182,1001102,221047,370388.1036236292,384286.79368477233
08-28,787922,2088198,1517943,184925,1639211,1523181.6072781784,1519450.6673603998
08-29,113473,1371241,985410,1687704,1198180,1418831.1396106477,1392506.0708479774
08-30,1030556,1721775,274471,1001102,4243153,3431438.6182443625,3438025.6073311167
08-31,1581838,813114,2050034,1280352,1198180,1161459.4820956578,1153639.727164921
09-01,835290,995967,985410,1001102,1198180,1088777.1786011031,1137028.0806013073
09-02,1452479,995967,985410,1001102,1198180,1317850.885785933,1265167.5069407444
09-03,1127602,158098,708148,1222897,1982907,1884905.394937,1880699.4727321542
09-04,277265,2602408,985410,801358,1132502,1076425.0752746323,1089999.7596985511
09-05,283414,255446,972796,102292,2267886,2178556.72751798,2162209.130874645
09-06,1353565,995967,1954325,2300934,70083,218415.2872217925,227649.36302379787
09-07,840629,1857767,2006033,2031956,1694375,1552449.3039184716,1558309.7787111755
09-08,108200,995967,985410,1001102,1198180,1309662.565622753,1302364.2988163722
09-09,400244,1233784,286188,925660,1198180,1259008.2266286933,1249425.6029850827
09-10,1917313,90000,985410,926953,678486,807554.3705032282,801627.3176433936
09-11,1617895,995967,77024,2768970,535008,476082.77885890193,469154.7224506071
09-12,654462,997333,1435168,367064,1145079,1064828.9749149592,1073588.0440775529
09-13,15000,995967,2126695,1262482,556929,609118.2797330428,609705.7124035638
09-14,1007291,1334077,324009,1850005,1198180,1351398.5882259295,1356185.3013235321
09-15,572486,701882,2621862,1389161,1198180,1110246.06977142,1125541.142159811
09-16,505107,924059,985410,414255,1198180,1113693.9491668127,1116835.548354463
09-17,1545056,513579,985410,1001102,1697516,1650412.6029182472,1615842.433724747
09-18,1697822,129518,441025,1001102,1198180,1079518.7847366438,1101519.5889582052
09-19,563507,908119,985410,825057,1759496,1471861.7611493038,1458648.847203301
09-20,1030556,384294,985410,1243506,1562431,1263525.7313850163,1294401.3231829966
09-21,477958,979495,1321452,2961713,938942,928902.7868336636,933312.0294937807
09-22,316352,709874,2122983,621987,1198180,1257077.0004465168,1256589.2346724444
09-23,1030556,853624,414340,1001102,1198180,1073905.1262305586,1115485.390455019
09-24,870680,1282206,92743,347056,1502601,1432123.152854474,1429632.6437808918
09-25,3198049,61920,1417076,611149,496917,526666.5554907402,529793.4504504035
09-26,1030556,995967,985410,1853309,1198180,1273309.8708860946,1231035.0885983577
09-27,1030556,1877253,145319,1001102,2449697,2218326.801003171,2209067.6996751823
09-28,936500,111977,345467,1336377,1198180,1290591.572410344,1276278.8185461021
09-29,2420666,690574,1895615,2205453,1372961,1368801.1063898215,1374156.3852513814
09-30,38000,1077076,25002,1001102,1198180,1229875.9314157537,1222565.1614952367
10-01,1378525,995967,462707,1001102,2576140,2113278.829881569,2133440.7230071533
10-02,1030556,995967,618867,2051000,1177883,1337213.166475077,1314585.5166641208
10-03,448986,32531,2932800,396127,1198180,1195225.6835366003,1191077.4341914642
10-04,2719554,500886,397539,1001102,1347521,1395353.721867302,1389942.6820170074
10-05,1030556,1727793,266169,1001102,887222,1349044.5412127618,1300436.9456670661
10-06,1030556,534194,219160,140492,1198180,1192048.4441972098,1200724.799410734
10-07,1799338,336087,985410,1113275,253239,243805.65205119023,279507.4830170742
10-08,92929,577380,496805,2554997,399892,469191.2450764376,473433.82933080173
10-09,754418,995967,985410,1001102,1301113,1042243.7903424884,1111166.0473796295
10-10,406531,995967,1655854,1001102,1040320,978486.3345075484,988442.4484074819
10-11,1030556,995967,502113,1901362,3164532,2616584.268455879,2639618.637163905
10-12,1545985,1263175,390885,187610,1198180,1115308.5382440423,1135156.2597242366
10-13,1030556,900885,638239,190401,1198180,1259998.0944851206,1247828.4872740817
10-14,959612,2801771,1334916,1294739,1198180,1164953.5306142434,1171008.561834556
10-15,1030556,995967,30000,1001102,1198180,996357.2632533412,1029889.340540702
10-16,2902543,995967,1465541,117895,1720179,1669169.9995648435,1673566.3310209992
10-17,1030556,995967,985410,1685168,789497,895221.0368820518,891337.620567448
10-18,372810,1764841,89608,964895,1352002,1408916.7020233418,1410911.1019025666
10-19,467978,995967,1856334,1270703,1968600,1869631.3200098283,1856660.0197331398
10-20,1030556,337365,985410,1001102,1198180,1226827.435806389,1219341.3080254314
10-21,727386,1232607,1384924,1520478,472053,637068.9815067081,617178.4486161193
10-22,1231810,1442428,985410,109161,323999,403314.5316040196,420340.470501057
10-23,1882107,154999,81766,702053,692504,750106.0114557558,755889.9254974858
10-24,1030556,995967,985410,1206527,2678247,2200556.892484378,2201635.87550506
10-25,1030556,1220440,985410,1001102,1764542,1396032.0065641415,1436279.7326966433
10-26,630233,24000,2728328,1607445,1198180,1155439.5928391386,1148226.0690803984
10-27,1489303,984841,1390039,1432875,1198180,1034115.4371432804,1073247.3466006408
10-28,1030556,1331615,985410,28320,49881,220144.9513740989,213686.38672523538
10-29,2345779,1242249,40033,1001102,1048859,976215.4113262432,982107.9278389377
10-30,1590006,69450,985410,496914,2158821,1950598.5900792396,1957528.4300136822
10-31,1030556,995967,167759,2622446,1198180,1297759.7629619169,1283666.7255123714
11-01,1030556,1317508,985410,1163870,2776196,2456784.443485196,2445222.596196228
11-02,1030556,911443,1779630,555545,1068819,1150148.8958150318,1154229.4708349237
11-03,597719,1549416,110237,1001102,1198180,1398772.75254785,1356178.595281524
11-04,1030556,995967,985410,1001102,549580,1135974.5222285588,1057123.5241846228
11-05,685638,995967,856184,2894443,515414,581130.7885741023,585988.9223968163
11-06,1084752,1895321,289131,749747,749205,818088.5394691004,825078.3591714073
11-07,476374,249075,301669,1140349,1198180,1272174.81926423,1282646.4752797736
11-08,53000,24000,1826925,215714,1877499,1937088.9382651888,1935535.7582814363
11-09,1823828,313454,985410,548946,631011,769502.5057384507,768188.0574924538
11-10,776127,798181,985410,738000,735571,825822.505081758,830978.8189971414
11-11,669810,1769135,1303282,1001102,127226,527150.8422260921,504627.6773152922
11-12,45000,65554,345699,999768,263172,290469.8077372225,291416.60719183635
11-13,1030556,1443565,1195712,392751,1321624,1398830.4652844642,1362473.5060177697
11-14,1030556,31000,136145,400150,186143,129025.32358468766,159240.62838510668
11-15,76884,1911086,1246453,1599285,3334970,3282959.3025683463,3281480.607427966
11-16,1488036,249889,1338890,1885526,1722214,1699417.5896104584,1692724.767741736
11-17,788942,709253,178053,494876,1198180,1263369.5888758705,1243285.9999971658
11-18,1030556,1860922,985410,1001102,55000,349663.5451994458,359835.72464753105
11-19,1894887,1084605,353904,36316,766455,679381.6765553172,670245.009520094
11-20,979633,196508,985410,1001102,977132,1092158.411385061,1110663.539400351
11-21,409356,995967,223948,2423678,1451698,1387551.541716377,1384619.1513223494
11-22,1030556,926905,1492144,1415482,63754,433066.9895557428,436642.89040582604
11-23,982438,995967,740304,1507256,2415260,2095413.1854791644,2072722.609281022
11-24,673080,1367013,985410,1616300,1198180,1017412.0567737768,1067286.2768161136
11-25,1030556,761752,410993,1001102,57765,694336.3184810199,676026.818108028
11-26,1412139,1072610,1403657,1001102,216931,435767.3252958792,429079.9089645322
11-27,1894303,402778,985410,1001102,541469,646591.2619042291,670573.9182702242
11-28,1030556,119302,19200,414573,929854,987741.9368014724,981664.2444343588
11-29,232468,1375245,1182522,1791887,3127228,2937910.0571894804,2941804.612337826
11-30,2113886,15000,1645897,2049082,1025531,1069621.993533491,1061685.5517541482
12-01,1843619,995967,139500,1001102,55305,403428.4917373619,401882.2846821621
12-02,809940,9000,1553751,110608,643685,677871.1296694364,685679.9086889944
12-03,694473,2017247,382568,2581756,414578,446971.3657616584,450131.0557186598
12-04,467960,1795842,985410,1530076,1140472,1041885.8405168324,1053237.4287688977
12-05,1182186,409224,1842527,77185,1573210,1584741.3073475573,1592994.1313496488
12-06,1551718,186283,985410,193758,2006936,2023039.7512304988,2008701.6090109337
12-07,1030556,588744,1147598,1001102,1092071,1165372.3914261942,1183243.7737561222
12-08,2085781,899322,257842,451476,1198180,1247011.6189517828,1241621.179676448
12-09,16914,728628,39000,1001102,109718,147547.22689708346,138928.49112260644
12-10,2070899,995967,406871,4125467,658817,695992.2837206903,695269.0743443093
12-11,1940027,882100,859360,142092,917003,972002.2881000484,959446.5315738018
12-12,227062,109222,1728747,1942264,299712,420121.9706481564,423135.66249162133
12-13,1577389,976204,985410,542694,1198180,1303918.7844260707,1268793.1082173355
12-14,1658727,995967,232187,3466336,383748,361623.9926415749,370903.41427949956
12-15,1030556,170426,244856,887390,3488779,3046826.841643577,3052783.509962201
12-16,1030556,3601666,967871,1001102,54200,124621.89371157042,133190.66406141035
12-17,1530251,995967,751870,1001102,1157229,1257444.5827125446,1264643.32030388
12-18,1765062,285767,985410,1001102,410130,651829.4718062561,619725.9651027214
12-19,174369,995967,2185577,617646,1363541,1389789.0586552955,1380474.898944173
12-20,1030556,666645,179996,149415,1198180,1151062.1402906345,1176025.645700551
12-21,1241728,511703,391474,1957493,2467849,2383675.26213708,2365492.6628179937
12-22,594721,995967,248608,1574834,1198180,1301828.1559665326,1293141.8392496938
12-23,1030556,1871252,1462512,1001102,82256,228001.4643585609,249424.3395222131
12-24,3122642,117747,606878,1224472,1198180,1258901.6252867882,1256985.5705860448
12-25,103044,253650,959254,1004549,1086993,1158054.415928077,1150709.2426003325
12-26,1030556,2004698,1433966,1001102,1408096,1191341.248678862,1218699.1483644058
12-27,125924,643626,985410,2648166,1669346,1611026.2984301802,1600171.1066365917
12-28,2477337,995967,3430383,1001102,1113987,1048107.5327961482,1053663.511985202
