Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026
03-06,1030556,436210,985410,1001102,1307534,1211646.4369775264,1207381.3494538255,1213963.9833526742,1213515.3665295537
03-07,2081765,2330899,116658,717982,1675220,1697767.725753193,1698666.998040571,1696861.0617639811,1696359.8712575962
03-08,1030556,717189,985410,951038,2272944,1619032.6613824433,1664672.5407447568,1665769.2481945006,1667512.8085169054
03-09,1305558,1255571,985410,864154,392653,641749.4938377832,634798.5225742224,635716.4927096688,634404.3454117564
03-10,163942,995967,1643753,293124,2669379,2369441.898746829,2359035.700547363,2358146.9010928613,2358539.5129624447
03-11,115145,469899,985410,587201,1771864,1601168.9467094394,1610969.6038115777,1611539.5774480356,1610985.5215487718
03-12,510561,3456441,985410,494437,65685,77471.78299875744,75902.24157172046,76542.12737142551,75667.5495597357
03-13,2196313,350224,1229715,40683,135781,189841.51534348424,193883.21540878352,194287.4638249817,194630.53766589542
03-14,1030556,67000,985410,751293,1198180,1249105.5970719506,1218100.264917378,1219218.874149556,1218317.2770506206
03-15,1030556,1200668,1193342,1564704,1198180,1326939.408486172,1309240.4918537743,1305919.3821568068,1304864.3415087163
03-16,1602161,995967,830256,1001102,1198180,1088391.9375695405,1098896.040422122,1102442.042725528,1101613.5862453985
03-17,1030556,76550,2627578,25192,4020098,3938287.0436335113,3936506.157694967,3937059.989742672,3937446.7201578193
03-18,1030556,1727729,155807,259051,1198180,1234230.3302830923,1242911.5319212603,1243248.917129899,1243670.487234304
03-19,1687425,2451760,32520,1001102,3059973,2989704.32849181,2987303.8692206936,2987318.302744769,2987089.7275005854
03-20,1655416,1080785,985410,1690959,179050,236034.5486489114,252902.997241298,252120.13142239768,252644.14013536018
03-21,528260,995967,2705552,1001102,696148,774131.3022369558,776581.5071513047,777788.4401634914,777107.6326814268
03-22,162628,1498038,985410,2188064,1198180,1255723.8733316418,1247549.303949523,1247733.959907563,1248150.5957911238
03-23,1619254,1031149,794277,1001102,814368,740563.6504391155,762312.7977474104,763476.1844892893,764711.1855264581
03-24,1005079,104250,985410,1971625,1198180,1035834.267656002,1071661.9553512735,1070495.9443289596,1070158.9092761262
03-25,598436,515081,1526106,1729813,1198180,1093881.7098709943,1104899.951089647,1107190.701163587,1107522.8713726674
03-26,158036,2629049,1260144,682275,1198180,1261350.4000977592,1258045.4652068869,1257396.2497095375,1257671.319650089
03-27,2837339,39925,723123,199288,3101867,3046411.72750216,3044341.9951855075,3043995.8942196714,3043724.452886385
03-28,253320,2326837,985410,269973,1734929,1542891.6967077502,1548016.347105472,1548637.2914971453,1548452.6298190437
03-29,1030556,1520655,985410,1275836,1124245,1183049.3930990307,1198108.596717864,1195927.0769708238,1194639.5126101233
03-30,2553776,674306,12479,944108,1198180,1225529.3375109192,1220547.159408149,1219861.6472772104,1220227.9254243358
03-31,236370,995967,109450,1001102,1045272,1018309.720833312,1008985.8732332464,1011989.3697102938,1013222.407914506
04-01,1030556,1092037,985410,1622925,1198180,1141374.681513944,1164044.5807417866,1163487.243128535,1162194.1886602424
04-02,711520,1838186,13758,516783,1372254,1428075.80235611,1425432.7432288963,1425568.3656711795,1425181.9284041827
04-03,349977,1833010,1449469,3010,1482300,1402729.7926725503,1394987.492923796,1395721.0744744656,1396365.6667608714
04-04,1030556,995967,505890,2721668,1198180,1271975.6695223197,1280815.7303130815,1276361.9131313595,1274851.7805928253
04-05,1281033,31072,2967374,549966,160327,181000.5169120743,182129.1527743468,182700.92624191972,182659.66430294164
04-06,1330727,2197125,985410,1001102,2018614,1906014.1365052613,1901996.17174842,1902862.303094696,1904605.3084290503
04-07,189976,497448,1800417,1683542,1198180,1250646.433432428,1255675.4543461837,1254095.009601249,1253780.23939658
04-08,276556,995967,104170,1001102,1192210,1038804.1953974754,1080497.6339874703,1076227.4355353946,1075412.5993177835
04-09,86779,185406,207914,328894,1949806,1894000.6755795432,1881170.716557732,1880821.768537604,1881410.0008042937
04-10,45650,1594842,985410,917857,570090,691137.469962073,702328.3033841064,701238.9814419493,700900.2932554386
04-11,1491767,788430,991468,1391931,1198180,1161529.9437867224,1154763.632997695,1156004.4940727467,1156820.1393433507
04-12,2331420,143531,985410,205531,615044,724748.9358828533,731407.2636704715,730045.6059140371,728955.2474781964
04-13,1339065,995967,1278310,814508,1198180,1216471.3715325647,1225606.3005563086,1224096.210873312,1224271.6304873638
04-14,1030556,995967,384607,1001102,1519452,1371390.6345321126,1376212.1208364752,1377436.1911739474,1375726.4537232823
04-15,231700,254730,985410,687977,1198180,1266543.555120346,1253699.456015987,1254614.8483253368,1254966.4452278402
04-16,1426416,2638605,1258045,257374,2634165,2583572.267881288,2580247.2033321047,2578828.914811043,2578349.251596895
04-17,827492,100604,985410,19160,283743,407374.2321012021,401484.0324414426,402027.0203620469,402393.05723020504
04-18,204610,995967,1351086,577931,163541,414365.7965182874,420399.8207293089,418106.3270285259,416213.5797964444
04-19,37276,1167496,985410,1001102,3491295,3204929.955300493,3200229.327070494,3199459.1894134264,3199020.92127679
04-20,1849481,616066,1006134,1139429,1401885,1283310.21705032,1287024.2312314387,1287331.882984215,1287584.738765049
04-21,1030556,66000,328831,2110869,1050181,1100859.9355391166,1106941.7456735717,1108332.8587799403,1108542.3929309095
04-22,683531,405199,44367,550225,1198180,1176754.049411235,1169759.002360374,1170111.7822985495,1170472.5342250501
04-23,1677626,1434860,985410,681433,221970,427074.002847234,410534.6215129858,412277.48210740567,413039.0838603495
