Month_Day,2018,2019,2020,2021,2022,2023,2024
05-16,1030556,15000,1536693,2389491,1710925,1709448.6,1709486.4
05-17,1030556,424325,985410,1001102,1198180,1202436.5,1206051.9
05-18,618354,1035713,1618502,1001102,335345,373217.25,373746.9
05-19,1724855,995967,1700775,980163,1198180,1199304.6,1198964.6
05-20,32977,1269085,985410,502782,1172228,1166668.2,1166127.2
05-21,1152978,1797842,766116,797311,329540,303769.9,302763.4
05-22,1569985,324857,1932343,1001102,2225042,2224791.2,2224924.8
05-23,224529,995967,985410,160463,641067,619756.75,621140.6
05-24,1030556,2000530,985410,1709501,328220,323171.06,325338.12
05-25,1030556,47878,1354063,410375,273731,300232.2,299998.06
05-26,2481189,995967,1144446,1001102,179127,216816.97,216344.05
05-27,2591526,1505501,985410,1001102,1730231,1736539.9,1735514.4
05-28,1030556,1827491,318615,1636455,1198180,1182362.5,1183610.4
05-29,1030556,860585,985410,2204343,1198180,1152040.4,1152520.8
05-30,1286324,995967,153876,1305059,5734111,5652563.0,5653047.0
05-31,421774,1792161,1343077,1001102,816859,790418.6,793070.06
06-01,703570,995967,908810,558130,1198180,1200684.2,1195793.9
06-02,2787360,53877,102000,678089,1198180,1198435.9,1197662.8
06-03,2401072,995967,924133,649070,1198180,1208757.4,1208187.5
06-04,1627907,43000,233917,880693,732844,744008.1,744979.44
06-05,1030556,145803,1311267,1795806,1474452,1475112.5,1474948.5
06-06,534235,397894,807514,611210,666718,680727.44,680051.7
06-07,1360307,10374,328430,1213845,1198180,1202306.9,1203035.8
06-08,3598011,1593326,928276,1001102,2919146,2918381.5,2918543.8
06-09,1030556,826587,985410,445759,1198180,1175914.2,1175390.9
06-10,806997,33113,1239409,224683,2610859,2593807.5,2593572.5
06-11,1590813,105504,985410,196783,1060373,1073013.0,1072707.5
06-12,4835,916661,174263,1470461,33434,28587.139,28627.262
06-13,825046,995967,1735664,1001102,1198180,1181016.5,1180000.9
06-14,1030556,482812,985410,534095,2993596,2846001.0,2845481.2
06-15,1280016,1730771,1899715,911277,816956,823013.5,823129.8
06-16,154873,995967,985410,432767,102566,178967.33,179960.98
06-17,1030556,262391,37940,1062607,371839,368249.53,368185.88
06-18,376422,2339132,2215330,1309072,277098,298036.06,297918.47
06-19,2258137,86988,985410,1001102,1198180,1199463.9,1197792.9
06-20,206230,1123371,985410,1330509,2908700,2895361.2,2894636.8
06-21,1030556,525424,106262,1461574,475899,483676.3,483758.34
06-22,1587242,995967,1144069,1103883,583735,570207.6,569903.0
06-23,138000,995967,2170126,1367994,2111541,2109233.5,2109412.2
06-24,672380,1915380,625379,156025,1946630,1939835.0,1939501.1
06-25,580927,2079863,985410,390298,1198180,1175827.8,1176958.1
06-26,1522914,254017,985410,1001102,2068514,2003611.5,2003588.9
06-27,354151,668400,338816,794999,1198180,1149705.0,1152564.4
06-28,729882,2358632,985410,1001102,1198180,1230728.5,1228046.0
06-29,1030556,995967,1601478,1308869,1118273,1132069.8,1135411.1
06-30,491886,185672,1084148,1994199,545951,596947.06,597085.6
07-01,1030556,266878,1481618,341190,1986833,1973689.4,1972949.0
07-02,343929,995967,1063588,1519759,2386754,2302106.0,2301714.2
07-03,721862,995967,985410,753561,287116,365599.28,365352.25
07-04,635614,162940,223800,120809,1198180,1204673.1,1205134.9
07-05,1849462,1216573,985410,1001102,1572461,1547529.1,1547704.1
07-06,410929,1877885,470811,1001102,348147,356964.97,357279.56
07-07,1030556,517177,772192,644112,1198180,1209398.9,1209655.0
07-08,2271569,2634044,1191553,2014225,1198180,1199557.2,1199866.1
07-09,1466534,995967,2505064,2875213,205556,213531.27,213325.06
07-10,853516,1753099,1199043,1001102,2504648,2438919.8,2440463.8
07-11,265174,995967,241137,312693,7169,56363.836,56333.33
07-12,2101044,995967,985410,1001102,3012812,2869147.5,2868654.0
07-13,1030556,995967,975980,795646,441931,486380.34,491718.22
07-14,890793,995967,1963444,1877828,1198180,1239907.6,1239833.0
07-15,1384564,1245311,31752,1107547,26000,36339.773,35583.56
07-16,271203,1461359,705290,1001102,1198180,1234168.0,1231724.9
07-17,2128496,557998,985410,737021,1023180,1012052.2,1012226.94
07-18,1030556,1149233,985410,106877,1322027,1264984.9,1268475.8
07-19,1030556,1996587,985410,606083,579959,575684.9,578525.75
07-20,2087643,110000,415950,2777052,1556266,1556224.9,1555914.6
07-21,300786,948107,2623328,19200,1344181,1345499.6,1344889.4
07-22,1030556,390052,3059067,91510,48260,51550.39,52583.656
07-23,794480,14000,116627,1358221,1479618,1482766.9,1482897.1
07-24,1065470,474624,985410,91875,1198180,1246492.2,1243401.8
07-25,1427245,2541134,1378481,1224813,1720431,1740666.2,1740649.6
07-26,1030556,995967,985410,161947,1044105,908178.7,915265.2
07-27,15000,552862,195342,1007219,1071306,1058114.8,1058061.8
07-28,1030556,740463,1247923,302473,1198180,1211238.9,1209962.8
07-29,1595899,148413,145581,2405621,116000,110854.664,111057.22
07-30,181298,1516868,403387,1001102,1509348,1488049.8,1487008.8
07-31,1842774,1790659,786211,72050,46424,37179.164,36581.113
08-01,1504137,1939840,132474,613200,1292425,1298654.2,1298691.5
08-02,494192,248142,985410,153552,2701790,2625698.0,2625356.0
08-03,1030556,1688033,985410,1053242,518301,575341.94,573676.4
08-04,1030556,350293,452949,31752,1198180,1212622.1,1212982.2
08-05,1512319,1592203,985410,87319,73927,93813.016,94054.625
08-06,50991,995967,1715022,1258893,1304588,1327486.8,1326441.1
08-07,1141053,1744126,1327088,1001102,794796,782291.1,782113.5
08-08,249906,995967,1805132,694112,1982668,1947932.4,1946408.2
08-09,203621,646170,736976,1001102,1262948,1239699.2,1239486.2
08-10,183259,2136348,1312861,83000,1198180,1192189.1,1191648.2
08-11,1030556,1360447,2079704,154181,1589140,1601612.0,1600991.8
08-12,1030556,918005,149043,1001102,130337,217037.36,214422.3
08-13,250651,995967,1686456,1001102,1198180,1183229.2,1184535.5
08-14,2809531,1562233,985410,374371,1397685,1397750.6,1397938.5
08-15,182762,995967,81425,2250345,109140,127489.52,126241.11
08-16,1030556,2008845,1563185,254785,1000240,1048117.4,1048002.25
08-17,1490020,995967,985410,542978,2591653,2449610.8,2450519.8
08-18,1030556,167724,309225,1232847,1198180,1255500.6,1251263.8
08-19,545365,738924,985410,1767985,535954,543084.0,544174.8
08-20,229054,2152931,985410,263587,245116,302522.84,301889.0
08-21,144986,109699,2005251,1421332,1198180,1205930.5,1205414.8
08-22,105200,870185,1423800,922886,2347883,2334057.5,2332703.2
08-23,11532,2581136,445413,1001102,934059,939283.3,939372.1
08-24,1030556,995967,693932,323155,1767938,1684275.4,1684058.8
08-25,836328,266229,985410,799402,692267,740550.4,740069.9
08-26,78000,90277,789389,323623,1198180,1205828.8,1205557.6
08-27,983630,995967,46182,1001102,221047,213808.17,215878.88
08-28,787922,2088198,1517943,184925,1639211,1642914.6,1642998.0
08-29,113473,1371241,985410,1687704,1198180,1227308.0,1225877.2
08-30,1030556,1721775,274471,1001102,4243153,4131460.5,4130710.2
08-31,1581838,813114,2050034,1280352,1198180,1202752.8,1202020.1
09-01,835290,995967,985410,1001102,1198180,1165248.6,1171161.5
09-02,1452479,995967,985410,1001102,1198180,1228131.1,1218960.6
09-03,1127602,158098,708148,1222897,1982907,1963321.9,1962669.5
09-04,277265,2602408,985410,801358,1132502,1104064.6,1103727.5
09-05,283414,255446,972796,102292,2267886,2257501.2,2256796.5
09-06,1353565,995967,1954325,2300934,70083,102017.95,102638.47
09-07,840629,1857767,2006033,2031956,1694375,1676313.9,1676483.9
09-08,108200,995967,985410,1001102,1198180,1134576.5,1142791.1
09-09,400244,1233784,286188,925660,1198180,1198941.5,1199742.1
09-10,1917313,90000,985410,926953,678486,710963.94,711618.44
09-11,1617895,995967,77024,2768970,535008,535721.6,535646.75
09-12,654462,997333,1435168,367064,1145079,1126647.6,1126315.9
09-13,15000,995967,2126695,1262482,556929,555188.6,555275.56
09-14,1007291,1334077,324009,1850005,1198180,1211562.0,1212704.8
09-15,572486,701882,2621862,1389161,1198180,1178401.1,1178916.2
09-16,505107,924059,985410,414255,1198180,1150755.2,1155703.5
09-17,1545056,513579,985410,1001102,1697516,1723681.2,1723328.9
09-18,1697822,129518,441025,1001102,1198180,1194845.8,1194110.1
09-19,563507,908119,985410,825057,1759496,1705116.6,1703640.9
09-20,1030556,384294,985410,1243506,1562431,1468703.6,1475072.5
09-21,477958,979495,1321452,2961713,938942,930547.6,929715.9
09-22,316352,709874,2122983,621987,1198180,1197195.9,1197641.8
09-23,1030556,853624,414340,1001102,1198180,1116387.5,1123351.9
09-24,870680,1282206,92743,347056,1502601,1487886.4,1487918.9
