Exporter,Product,QTY.(KGS)
AMS AGRO INDUSTRIES,FOOD STUFFS,187103
AMS SPCES AND FOOD PRODUCTS,RICE,71032
AMUR PHARMA EQUIPMENTS,MEDICAL EQUIPMENTS,1250
ANA APPARELS INCORPORATION,COTTON GARMENTS,3731
ANAND TEXTILES,COTTON GOODS,23519
ANANDHA MODERN RICE MILL,RICE,296094
ANAPPADIKKAL TRADING COMPANY,SPICES,96751
ANAR COIR P.LTD.,COIR PITH,477708
ANASWARA OFFSET P.LTD,BOOKS,124
ANB TOOLERS,TOOLS,26946
ANBU WATER TECHNOLOGIST,WATER TREATMENT MACHINERIES,3870
ANCHUTHARA FOOD PRODUCTS,FOOD STUFFS,76726
ANCHUTHENGIL AGRI SUPPLY,COVER CROP SEEDS,33294
ANDAVAR CLOTHING CO.,COTTON GOODS,13869
ANDRITZ TECHNOLOGIES,SPARES,1257
ANEEN FURNITURE,PAPER BAGS,1180
ANFA CARGO,FOOD STUFFS,18913
ANHAR VENTURES,SPRAY PAINT MACHINERY,4149
ANIRITHANYA TEX,COTTON GOODS,34005
ANISHA CARDAMOM,CARDAMOM,423
ANITHA TEXCOT INDIA P.LTD.,COTTON GOODS,231
ANKAI INTERNATIONAL,COFFEE,19200
ANNA ALUMINIUM  COMPANY P.LTD.,UTENSIL,668610
ANNA FRIED MASALA,CURRY POWDER,4450
ANNA SPICES,SPICES,139840
ANNAPOORNESWARI EXIM P.LTD.,FOOD STUFFS,32113
ANNIE IMPEX,COCONUTS,28500
ANNS FLOOR DECORATION,RUBBER MATS,72119
ANNVIN FPS,AYURVEDIC PRODUCTS,820
ANSAR OIL INDUSTRIES,SOYA BARI,266150
ANSELL INDIA PRODUCTS,SURGICAL GLOVES,24320
ANTARIC MERCHANDISING,HANDICRAFTS,13823
ANTES CORPORATION,COLD ROOM SOLUTIONS,9534
ANTON EXPORTS&IMPORTS,COTTON GOODS,5875
ANTONY ,PERSONAL EFFECTS,651
ANUGRAHA FASHION MILL P.LTD.,COTTON GOODS,257663
