Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
02-07,688557,1476566,934975,977010,1843370,1523628.9515745982,1523628.9515745982,1505274.1585078295,1484913.1927727112,1468286.363703101
02-08,1030556,995967,985410,1101291,116126,797847.4733090686,797847.4733090686,787449.6791528161,780133.9113041491,776863.1846404006
02-09,1030556,312548,1268497,1001102,2471658,1765083.8924970282,1765083.8924970282,1770517.3046212918,1770486.4536621822,1766236.8685518513
02-10,1088732,822724,1362825,1018816,478275,597426.2564974196,597426.2564974196,593612.3205767976,598244.047929422,597043.2785289384
02-11,601293,132419,314981,1429343,1362634,1136529.2931515917,1136529.2931515917,1137405.6836567002,1127530.1181734293,1122955.5603766514
02-12,460360,692093,985410,900457,726187,1078784.8916765084,1078784.8916765084,1077418.4237944025,1066765.1176769754,1057864.2397963102
02-13,2398350,2191269,198297,211762,155059,548803.1706775242,548803.1706775242,527439.645150471,516860.8977598177,506122.9978474871
02-14,1030556,303587,1049381,1001102,1198180,1295739.6080944445,1295739.6080944445,1272802.7696614554,1270693.2731693103,1266997.87842333
02-15,1030556,995967,985410,2408771,1652443,1047704.1565886989,1047704.1565886989,1047436.268306718,1041633.1293155244,1038163.9861814515
02-16,1093939,2517677,1070399,1001102,1949754,1546046.875603989,1546046.875603989,1539596.415941381,1532396.7148342216,1521834.8177413577
02-17,740732,995967,1500949,522482,1013301,916703.2247283967,916703.2247283967,913757.9649345708,906570.0185250147,900228.5283986365
02-18,523076,382618,985410,1252606,1198180,1092588.7791038156,1092588.7791038156,1090236.271710276,1085096.97537559,1077721.480237675
02-19,1489902,3008623,1716966,1001102,1198180,1505471.235146041,1505471.235146041,1502160.1182109287,1491852.805193246,1486945.7418455398
02-20,1030556,950731,985410,27739,837028,713586.762580237,713586.762580237,708214.6207480319,702702.0291924557,698383.5970946362
02-21,1030556,995967,796524,2229961,243382,610613.0078817212,610613.0078817212,596867.923332318,591000.9840472159,588289.7539918328
02-22,101205,1678316,108480,1001102,2049523,1747916.73879592,1747916.73879592,1740077.3822883803,1736161.8360535388,1736429.2204577725
02-23,1099768,995967,985410,1484415,858533,1100703.9614310253,1100703.9614310253,1087967.9914174357,1085771.7406281948,1079098.8080080312
02-24,2467016,995967,470643,1001102,1128715,1362248.7069240687,1362248.7069240687,1363915.066109042,1346901.3964758145,1338796.5989909007
02-25,168321,239982,3137760,2253089,3460002,2594466.114099293,2594466.114099293,2541330.5981538016,2502745.690149767,2441448.0560273062
02-26,462624,1528091,985410,49365,150400,354250.93717946333,354250.93717946333,401798.59129404055,404994.9940517812,404342.6865766053
02-27,1030556,2832122,80500,63440,1931645,1665232.0005601186,1665232.0005601186,1666102.660251266,1660926.7747708436,1650545.3694397646
02-28,2634970,174908,1287027,1530044,1198180,1162885.1266201136,1162885.1266201136,1156467.3443989337,1155425.1656120822,1149807.8528979514
02-29,1030556,995967,327600,1001102,1198180,1176190.941914825,1176190.941914825,1168800.1580979603,1159912.7484601922,1157205.58662127
03-01,1568864,30000,908411,1710320,416566,497639.9920092808,497639.9920092808,473780.7848262332,457634.661196506,443453.59947316046
03-02,325350,184674,1692063,2318550,1198180,1353806.6498392946,1353806.6498392946,1348612.3595932992,1333219.1833060456,1323476.7852137627
03-03,1030556,995967,1861632,1716547,2518352,1950558.0971581384,1950558.0971581384,1970379.59248158,1968038.2124092216,1967278.834517701
03-04,851189,244133,985410,1001102,1198180,1262764.3845245058,1262764.3845245058,1252099.2092989106,1245193.1119977331,1239696.719337472
03-05,1030556,1455546,985410,516744,1198180,1062672.10809341,1062672.10809341,1055279.515393922,1050268.4059292248,1044326.4799060972
03-06,1030556,436210,985410,1001102,1307534,1213146.717622274,1213146.717622274,1212393.936195113,1201701.368353564,1195883.0439615021
03-07,2081765,2330899,116658,717982,1675220,1545349.2658416769,1545349.2658416769,1525494.8265099274,1533016.1421890447,1532122.6980528573
03-08,1030556,717189,985410,951038,2272944,1525370.452622646,1525370.452622646,1506253.0972452783,1486532.6847845356,1471703.3273869904
03-09,1305558,1255571,985410,864154,392653,863493.5798509795,863493.5798509795,867888.4646155456,862069.1904286314,857477.8845280269
03-10,163942,995967,1643753,293124,2669379,2079821.179063348,2079821.179063348,2131861.9383971835,2177266.2064553387,2193393.5275500286
03-11,115145,469899,985410,587201,1771864,1494559.3523609,1494559.3523609,1465985.1102189054,1459546.3521454216,1450403.9847231815
03-12,510561,3456441,985410,494437,65685,563946.0004898566,563946.0004898566,553847.001881807,547621.4037525962,542093.0783938429
03-13,2196313,350224,1229715,40683,135781,536893.2366517035,536893.2366517035,528995.5787886153,519364.1345626342,510900.5704134693
03-14,1030556,67000,985410,751293,1198180,974681.4350737092,974681.4350737092,976251.3363444072,968731.4929527402,961330.6563947888
03-15,1030556,1200668,1193342,1564704,1198180,1437008.795309147,1437008.795309147,1443615.777784963,1442944.6561049973,1437782.3327257552
03-16,1602161,995967,830256,1001102,1198180,974197.5216481172,974197.5216481172,960670.0601579678,951841.1430243192,948823.4857068103
03-17,1030556,76550,2627578,25192,4020098,2775371.617616536,2775371.617616536,2583533.894432436,2452785.7892177976,2382801.5573651236
03-18,1030556,1727729,155807,259051,1198180,1480212.1733043648,1480212.1733043648,1500653.427632017,1491898.2638634513,1482634.5615656783
03-19,1687425,2451760,32520,1001102,3059973,2449760.55403589,2449760.55403589,2474117.661107548,2446320.2453692616,2401007.366246433
03-20,1655416,1080785,985410,1690959,179050,301240.0178884904,301240.0178884904,328215.96126564685,333136.8976252731,336960.0898894417
03-21,528260,995967,2705552,1001102,696148,885871.4782583544,885871.4782583544,881707.3628956077,877387.8435505157,873004.4919474536
03-22,162628,1498038,985410,2188064,1198180,1398614.5693914487,1398614.5693914487,1408632.7235949482,1399074.542359081,1388870.7906081362
03-23,1619254,1031149,794277,1001102,814368,789955.8487406729,789955.8487406729,783364.5685120426,782659.9987710866,775607.1511240659
03-24,1005079,104250,985410,1971625,1198180,868656.7984682734,868656.7984682734,863284.9242512574,859615.3533451394,857907.9752009254
03-25,598436,515081,1526106,1729813,1198180,1097432.7396820302,1097432.7396820302,1090298.9891212007,1080964.535284173,1075743.3347834738
03-26,158036,2629049,1260144,682275,1198180,1327501.4860888773,1327501.4860888773,1321916.9506377692,1317111.842438866,1309258.7045688946
03-27,2837339,39925,723123,199288,3101867,2418396.7901451658,2418396.7901451658,2392438.8951636828,2376576.5121454,2364852.2219450367
03-28,253320,2326837,985410,269973,1734929,1271652.2286194265,1271652.2286194265,1268733.6079767456,1261394.8431456191,1255417.7405895973
