Month_Day,2018,2019,2020,2021,2022,2023,2024
05-27,2591526,1505501,985410,1001102,1730231,1622632.0462604463,1622632.0462604465
05-28,1030556,1827491,318615,1636455,1198180,1248915.1948609666,1248915.1948609666
05-29,1030556,860585,985410,2204343,1198180,928495.6097198837,928495.6097198835
05-30,1286324,995967,153876,1305059,5734111,3411076.703922302,3411076.703922302
05-31,421774,1792161,1343077,1001102,816859,580450.6223662588,580450.6223662588
06-01,703570,995967,908810,558130,1198180,935403.983032455,935403.983032455
06-02,2787360,53877,102000,678089,1198180,1163540.5031440349,1163540.5031440349
06-03,2401072,995967,924133,649070,1198180,1082066.3226932834,1082066.3226932834
06-04,1627907,43000,233917,880693,732844,774744.2268920877,774744.2268920877
06-05,1030556,145803,1311267,1795806,1474452,1428985.4825606318,1428985.4825606318
06-06,534235,397894,807514,611210,666718,714621.412453935,714621.412453935
06-07,1360307,10374,328430,1213845,1198180,1361559.9885604302,1361559.9885604302
06-08,3598011,1593326,928276,1001102,2919146,2126566.0912549864,2126566.0912549864
06-09,1030556,826587,985410,445759,1198180,1030425.7209740093,1030425.7209740091
06-10,806997,33113,1239409,224683,2610859,2013767.3959297969,2013767.3959297969
06-11,1590813,105504,985410,196783,1060373,1033522.2820250934,1033522.2820250934
06-12,4835,916661,174263,1470461,33434,596940.9040440103,596940.9040440103
06-13,825046,995967,1735664,1001102,1198180,1130710.3892785711,1130710.3892785711
06-14,1030556,482812,985410,534095,2993596,2071698.893560703,2071698.8935607027
06-15,1280016,1730771,1899715,911277,816956,979723.5480615254,979723.5480615254
06-16,154873,995967,985410,432767,102566,827461.493423197,827461.493423197
06-17,1030556,262391,37940,1062607,371839,589619.800910614,589619.800910614
06-18,376422,2339132,2215330,1309072,277098,654466.5499415336,654466.5499415336
06-19,2258137,86988,985410,1001102,1198180,921748.9969717722,921748.9969717722
06-20,206230,1123371,985410,1330509,2908700,2433274.410787379,2433274.410787379
06-21,1030556,525424,106262,1461574,475899,775146.8141398303,775146.8141398303
06-22,1587242,995967,1144069,1103883,583735,757836.6734606221,757836.6734606221
06-23,138000,995967,2170126,1367994,2111541,1690407.274026949,1690407.274026949
06-24,672380,1915380,625379,156025,1946630,1667001.3919198073,1667001.3919198073
06-25,580927,2079863,985410,390298,1198180,865118.8089450673,865118.8089450673
06-26,1522914,254017,985410,1001102,2068514,1868177.8504455483,1868177.8504455483
06-27,354151,668400,338816,794999,1198180,1019464.518087058,1019464.5180870581
06-28,729882,2358632,985410,1001102,1198180,1144273.0431002846,1144273.0431002846
06-29,1030556,995967,1601478,1308869,1118273,1287582.292688883,1287582.292688883
06-30,491886,185672,1084148,1994199,545951,1105871.6903045997,1105871.6903045995
07-01,1030556,266878,1481618,341190,1986833,1846028.8689344889,1846028.8689344886
07-02,343929,995967,1063588,1519759,2386754,1837993.29032099,1837993.29032099
07-03,721862,995967,985410,753561,287116,652968.2715472849,652968.2715472849
07-04,635614,162940,223800,120809,1198180,1449962.907738286,1449962.907738286
07-05,1849462,1216573,985410,1001102,1572461,1357077.8025934217,1357077.8025934217
07-06,410929,1877885,470811,1001102,348147,731976.6476794721,731976.6476794721
07-07,1030556,517177,772192,644112,1198180,1224393.2397881085,1224393.2397881085
07-08,2271569,2634044,1191553,2014225,1198180,1184964.6999817842,1184964.6999817842
07-09,1466534,995967,2505064,2875213,205556,445417.768940456,445417.768940456
07-10,853516,1753099,1199043,1001102,2504648,1851521.1401975576,1851521.1401975579
07-11,265174,995967,241137,312693,7169,595571.468791229,595571.468791229
07-12,2101044,995967,985410,1001102,3012812,1990505.6505307944,1990505.6505307944
07-13,1030556,995967,975980,795646,441931,798539.1508413423,798539.1508413423
07-14,890793,995967,1963444,1877828,1198180,1454304.6866144647,1454304.6866144647
07-15,1384564,1245311,31752,1107547,26000,676572.9828124793,676572.9828124793
07-16,271203,1461359,705290,1001102,1198180,1324207.887725115,1324207.887725115
07-17,2128496,557998,985410,737021,1023180,1158969.6823106187,1158969.6823106187
07-18,1030556,1149233,985410,106877,1322027,918537.5838086178,918537.5838086178
07-19,1030556,1996587,985410,606083,579959,648611.1207473557,648611.1207473557
07-20,2087643,110000,415950,2777052,1556266,1320222.8751825849,1320222.8751825849
07-21,300786,948107,2623328,19200,1344181,1325196.6899458752,1325196.6899458752
07-22,1030556,390052,3059067,91510,48260,886601.5000288932,886601.5000288932
07-23,794480,14000,116627,1358221,1479618,1390869.4689392822,1390869.4689392822
07-24,1065470,474624,985410,91875,1198180,1061882.356838937,1061882.356838937
07-25,1427245,2541134,1378481,1224813,1720431,1425661.5324880828,1425661.5324880828
07-26,1030556,995967,985410,161947,1044105,1014518.8051391664,1014518.8051391664
07-27,15000,552862,195342,1007219,1071306,872761.7371678719,872761.7371678719
07-28,1030556,740463,1247923,302473,1198180,1422710.6475084468,1422710.6475084468
07-29,1595899,148413,145581,2405621,116000,540016.8648952665,540016.8648952665
07-30,181298,1516868,403387,1001102,1509348,1455717.3000248424,1455717.3000248424
07-31,1842774,1790659,786211,72050,46424,212768.26659830371,212768.26659830374
08-01,1504137,1939840,132474,613200,1292425,1374780.950354539,1374780.950354539
08-02,494192,248142,985410,153552,2701790,2194627.4887487707,2194627.4887487707
08-03,1030556,1688033,985410,1053242,518301,789548.926868064,789548.926868064
08-04,1030556,350293,452949,31752,1198180,1235658.0274358443,1235658.0274358443
08-05,1512319,1592203,985410,87319,73927,420525.8605653108,420525.8605653108
08-06,50991,995967,1715022,1258893,1304588,1457848.0377344438,1457848.0377344438
08-07,1141053,1744126,1327088,1001102,794796,913279.0073599472,913279.0073599472
08-08,249906,995967,1805132,694112,1982668,1281884.9659649648,1281884.9659649648
08-09,203621,646170,736976,1001102,1262948,1137851.8858454202,1137851.8858454202
08-10,183259,2136348,1312861,83000,1198180,1249953.13978475,1249953.13978475
08-11,1030556,1360447,2079704,154181,1589140,1471880.3661825934,1471880.3661825934
08-12,1030556,918005,149043,1001102,130337,944218.552881827,944218.552881827
08-13,250651,995967,1686456,1001102,1198180,1209527.8575338707,1209527.8575338707
08-14,2809531,1562233,985410,374371,1397685,1219731.9249999542,1219731.9249999542
08-15,182762,995967,81425,2250345,109140,445073.989818104,445073.98981810396
08-16,1030556,2008845,1563185,254785,1000240,1421369.156872579,1421369.1568725787
08-17,1490020,995967,985410,542978,2591653,1743936.323693087,1743936.323693087
08-18,1030556,167724,309225,1232847,1198180,1524922.0816817305,1524922.0816817305
08-19,545365,738924,985410,1767985,535954,843205.2397156545,843205.2397156545
08-20,229054,2152931,985410,263587,245116,740171.405286927,740171.405286927
08-21,144986,109699,2005251,1421332,1198180,1247391.127469415,1247391.127469415
08-22,105200,870185,1423800,922886,2347883,1711629.7607740911,1711629.7607740911
08-23,11532,2581136,445413,1001102,934059,1198309.641848183,1198309.641848183
08-24,1030556,995967,693932,323155,1767938,1343619.583514869,1343619.583514869
