Month_Day,2018,2019,2020,2021,2022,2023,2024
03-28,253320,2326837,985410,269973,1734929,1330663.8409891166,1367917.4725914602
03-29,1030556,1520655,985410,1275836,1124245,1178865.0428035224,1206247.3407779352
03-30,2553776,674306,12479,944108,1198180,1175656.7550515851,1155443.6259710162
03-31,236370,995967,109450,1001102,1045272,1134345.2477283478,1127922.791470502
04-01,1030556,1092037,985410,1622925,1198180,1201998.2053929823,1220791.0225753284
04-02,711520,1838186,13758,516783,1372254,1232840.1914925105,1231466.8639613225
04-03,349977,1833010,1449469,3010,1482300,1256574.0257548587,1246873.583552972
04-04,1030556,995967,505890,2721668,1198180,1273682.6053149644,1192903.8028234465
04-05,1281033,31072,2967374,549966,160327,312155.8064891618,337597.031499101
04-06,1330727,2197125,985410,1001102,2018614,1469709.8627738522,1529798.6677450356
04-07,189976,497448,1800417,1683542,1198180,1207766.631618848,1255781.5554014705
04-08,276556,995967,104170,1001102,1192210,1158418.4421409776,1189637.0756780962
04-09,86779,185406,207914,328894,1949806,1556626.87081719,1536613.54287977
04-10,45650,1594842,985410,917857,570090,915427.9081860216,976384.1302283087
04-11,1491767,788430,991468,1391931,1198180,1221157.6762497704,1214142.4360479824
04-12,2331420,143531,985410,205531,615044,938080.7952415944,909219.4127824886
04-13,1339065,995967,1278310,814508,1198180,1292151.0472771332,1264568.4719654403
04-14,1030556,995967,384607,1001102,1519452,1341468.9759695246,1309708.6122526594
04-15,231700,254730,985410,687977,1198180,1378870.867584856,1271110.0106147465
04-16,1426416,2638605,1258045,257374,2634165,2357792.001502916,2287950.818575154
04-17,827492,100604,985410,19160,283743,698813.6073502753,679185.5129491305
04-18,204610,995967,1351086,577931,163541,854106.8308654898,811861.6722121215
04-19,37276,1167496,985410,1001102,3491295,2954094.9689237187,2910154.888146121
04-20,1849481,616066,1006134,1139429,1401885,1055560.3438908977,1163326.086531941
04-21,1030556,66000,328831,2110869,1050181,1082579.4324218845,1108540.3596680933
04-22,683531,405199,44367,550225,1198180,1066827.4138917108,1082554.8294771384
04-23,1677626,1434860,985410,681433,221970,762817.3111374966,698825.2861630131
04-24,879540,690751,985410,282935,1267286,1086995.0443188164,1179428.0034402423
04-25,18000,445393,985410,1001102,1198180,1247695.693480131,1220846.7658037366
04-26,1030556,1034416,3791522,1303232,539478,670035.6020844039,726815.6435854334
04-27,425729,995967,807485,1219717,477336,774569.7130480612,804562.3132524875
04-28,353346,995967,985410,292517,843429,1035093.616447814,1062912.9749565
04-29,1492435,1970252,2068891,1001102,1527271,1482133.2792069486,1391738.069949983
04-30,1794152,2101064,985410,1238210,1037837,1039276.7516621252,1013661.2309268246
05-01,986364,995967,985410,1001102,66795,1135375.6566216317,974960.1162001153
05-02,1030556,1015588,2110999,1001102,2361155,1340153.5338834913,1484543.7870190952
05-03,893405,1277713,1300098,1001102,2183113,1503424.156095338,1549486.36199728
05-04,1030556,2828337,985410,228621,1811580,1638762.5405183723,1580184.1978183077
05-05,101725,391165,2064058,1001102,608008,1038725.7757980232,1086243.83789146
05-06,1165063,1031023,2700232,1250466,762558,1015136.506241386,965360.8395727308
