Month_Day,2018,2019,2020,2021,2022,2023
06-19,2258137,86988,985410,1001102,1198180,975847.7727680615
06-20,206230,1123371,985410,1330509,2908700,2016431.3207409745
06-21,1030556,525424,106262,1461574,475899,918576.786034447
06-22,1587242,995967,1144069,1103883,583735,817439.3675978343
06-23,138000,995967,2170126,1367994,2111541,1711903.255249269
06-24,672380,1915380,625379,156025,1946630,1606322.355005679
06-25,580927,2079863,985410,390298,1198180,1070366.1590278016
06-26,1522914,254017,985410,1001102,2068514,1538515.5304656706
06-27,354151,668400,338816,794999,1198180,1010838.5984890063
06-28,729882,2358632,985410,1001102,1198180,1286516.8779157477
06-29,1030556,995967,1601478,1308869,1118273,1223839.7163633916
06-30,491886,185672,1084148,1994199,545951,927214.5918976113
07-01,1030556,266878,1481618,341190,1986833,1470122.7108206616
07-02,343929,995967,1063588,1519759,2386754,1649736.2914150374
07-03,721862,995967,985410,753561,287116,1018379.5554320238
07-04,635614,162940,223800,120809,1198180,1359642.4556152683
07-05,1849462,1216573,985410,1001102,1572461,1086758.8319468652
07-06,410929,1877885,470811,1001102,348147,971269.1330873673
07-07,1030556,517177,772192,644112,1198180,1021850.2327251392
07-08,2271569,2634044,1191553,2014225,1198180,1324673.267498965
07-09,1466534,995967,2505064,2875213,205556,474532.94177175086
07-10,853516,1753099,1199043,1001102,2504648,1610684.8932954092
07-11,265174,995967,241137,312693,7169,993281.8947756799
07-12,2101044,995967,985410,1001102,3012812,1401415.5003188206
07-13,1030556,995967,975980,795646,441931,1073417.4407890383
07-14,890793,995967,1963444,1877828,1198180,1293581.5481879988
07-15,1384564,1245311,31752,1107547,26000,672939.2115098579
07-16,271203,1461359,705290,1001102,1198180,1257450.7428819516
07-17,2128496,557998,985410,737021,1023180,1109380.1649597331
07-18,1030556,1149233,985410,106877,1322027,1130186.9065247995
07-19,1030556,1996587,985410,606083,579959,1071174.4834017921
07-20,2087643,110000,415950,2777052,1556266,1308702.8790443796
07-21,300786,948107,2623328,19200,1344181,1442070.2870558226
07-22,1030556,390052,3059067,91510,48260,488982.6010524867
07-23,794480,14000,116627,1358221,1479618,1333023.0720121656
07-24,1065470,474624,985410,91875,1198180,1284203.156071706
07-25,1427245,2541134,1378481,1224813,1720431,1416648.5111236235
07-26,1030556,995967,985410,161947,1044105,1112520.6261971279
07-27,15000,552862,195342,1007219,1071306,913963.7765000833
07-28,1030556,740463,1247923,302473,1198180,1473046.8981599263
07-29,1595899,148413,145581,2405621,116000,718496.0252148373
07-30,181298,1516868,403387,1001102,1509348,1290564.0399918782
07-31,1842774,1790659,786211,72050,46424,52372.12376679804
08-01,1504137,1939840,132474,613200,1292425,1438042.2145656578
08-02,494192,248142,985410,153552,2701790,1855332.380451139
08-03,1030556,1688033,985410,1053242,518301,955854.1860724019
08-04,1030556,350293,452949,31752,1198180,1100946.319795185
08-05,1512319,1592203,985410,87319,73927,564827.0338722453
08-06,50991,995967,1715022,1258893,1304588,1466965.3900572658
08-07,1141053,1744126,1327088,1001102,794796,961613.885593898
08-08,249906,995967,1805132,694112,1982668,1695357.8636807096
08-09,203621,646170,736976,1001102,1262948,1169383.1523642123
08-10,183259,2136348,1312861,83000,1198180,1043637.6269340417
08-11,1030556,1360447,2079704,154181,1589140,1496749.7398038239
08-12,1030556,918005,149043,1001102,130337,1229214.7541560717
08-13,250651,995967,1686456,1001102,1198180,1175244.060130395
08-14,2809531,1562233,985410,374371,1397685,1289140.8011430905
08-15,182762,995967,81425,2250345,109140,533943.9850189337
08-16,1030556,2008845,1563185,254785,1000240,1242374.6963561962
08-17,1490020,995967,985410,542978,2591653,1310891.9957278192
08-18,1030556,167724,309225,1232847,1198180,1326207.2327534498
08-19,545365,738924,985410,1767985,535954,1027451.5632503312
08-20,229054,2152931,985410,263587,245116,770447.4296909854
08-21,144986,109699,2005251,1421332,1198180,1377806.2584190385
