Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
26-Feb,297000,7615486,0,3803479,11828580,0,0,5966153,8645446,108.3061876958236,11826915.785674574,5966062.080267213,1184.197787836194,5964344.675944258
27-Feb,8646710,0,56828,10647972,7435426,0,4611096,5264289,6636936,4612893.691010147,7437325.626012613,5266037.622763043,0.0,5262849.354755198
28-Feb,2492767,14000,3030900,7930662,5348498,12689294,7469730,0,6502486,7468385.391917368,5345523.841613124,0.0,12685994.148448773,466.6552636930719
01-Mar,10282049,5257480,2955041,0,1529988,0,6796000,6582468,8704759,6796824.065166276,1531502.332479381,6583993.037404873,2043.011567255482,6586133.774840329
02-Mar,25395000,1957603,2394100,0,0,2300706,4797730,0,0,4797595.202715144,565.3211512416601,495.8602436892688,2299942.049006965,0.0
03-Mar,5742029,4333609,5794189,1175273,0,15262834,17372654,3427473,4099346,17376205.29719799,0.0,3426872.1166178966,15262039.235800194,3427927.1315078717
04-Mar,3611676,0,77630,7350000,7769401,14310459,24732302,0,4633149,24732238.35760174,7769930.00878223,289.18059192504734,14311913.69801864,1592.412903983146
05-Mar,1321795,11858551,0,15057608,17849114,523866,0,40000000,7496866,711.9720579879358,17848475.779131234,39999704.172987424,522865.7215159508,39998937.558088586
06-Mar,0,0,6955185,20456348,0,0,3358634,5662464,7849673,3359592.513404571,511.6180084357038,5662720.070564088,0.0,5663346.119360939
07-Mar,3415058,2873536,0,530420,0,5250223,9415841,4973216,4620295,9416879.28121004,1695.890636253171,4971220.997648809,5246459.019086584,4971993.599802775
08-Mar,11499962,17034032,4516087,5000120,1615278,6089145,0,11353240,1571100,0.0,1615068.0448425943,11352575.795152944,6086908.539038077,11353488.683647908
09-Mar,0,8575718,2524055,126137,0,2063294,5775998,782060,5178187,5778069.647682044,1040.2621109681204,780823.3848736547,2068350.079552792,780111.0921609988
10-Mar,7632717,4835743,40927486,2940812,7885955,11238708,12909330,2213039,4994679,12907986.640850766,7885348.6237581475,2212685.447457602,11238605.888258971,2212279.8137340983
11-Mar,0,6557763,9217913,1875130,12030138,3108832,13310000,9682049,8413010,13308901.620082334,12029712.308602285,9683326.582445648,3111078.754795374,9683783.602819296
12-Mar,1641499,0,0,3166310,15768302,7220103,5688998,6949262,0,5688628.180196788,15767987.175877802,6948899.376624496,7219284.004025737,6950062.687567452
13-Mar,5298666,8054474,3190389,18350955,10253635,0,10072100,40164430,2953171,10071024.018636432,10252806.334763773,40164276.75935709,1061.838478106074,40164142.4080648
14-Mar,0,12714458,2152380,0,7342945,0,7260491,3734000,4244050,7262055.958433354,7344021.564145391,3733792.072481356,0.0,3733196.874781629
15-Mar,3431071,2026206,2170675,11948180,0,162962,3229763,0,23100457,3227932.697106534,0.0,818.9082240816206,163448.65658600815,981.1033759824932
16-Mar,0,2151988,4140558,1083864,216540,25249987,6937640,10526000,4363,6937011.992740213,216868.49648658093,10526600.883908885,25252239.84580148,10527638.491396705
17-Mar,7236120,4548828,4462759,0,0,18065610,189913,7657199,11893872,190309.17957188468,556.6643471736461,7658022.612751028,18064654.885583777,7657687.478377161
18-Mar,0,9480250,5219371,17452000,21839980,3088670,4026633,0,4227691,4027336.9474562895,21839452.40170848,962.19507184159,3087504.5787465773,0.0
19-Mar,962042,34763,7875000,8217789,9503405,0,0,7552217,1827295,0.0,9503962.362778911,7552879.899492279,0.0,7551923.465673055
20-Mar,5963874,28797,23016,13907692,6406867,13791196,7296562,143585,2965151,7295767.55512466,6407174.313040342,144806.70351596177,13792155.353218142,144656.01808871888
21-Mar,2200615,42692,6701726,1011336,0,0,42254,0,14207657,41053.057003018446,201.16408334020525,303.0838781511411,1370.7408665511757,410.28343256004155
22-Mar,5183863,12778308,9077472,8610475,7003930,1282147,10579858,11471813,0,10580298.287678745,7004977.032706281,11472470.239119869,1281704.147314988,11473956.242292501
23-Mar,1775323,3467479,21005685,23288873,3087956,2342987,20815222,374844,8360520,20814567.670503736,3088519.027101316,375779.53240245394,2343350.8494458525,374992.80413563736
24-Mar,5782927,1519628,6102755,8762610,4869420,7875000,320574,4905000,10949304,320977.4498318322,4867432.100470789,4906408.432710624,7874016.73024805,4908391.23373788
