Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
24-Mar,5782927,1519628,6102755,8762610,4869420,7875000,320574,4905000,10949304,4869419.999999996,5782927.000000002,10949304.000000004,6102755.0,10949303.999999996
25-Mar,0,4663239,0,3731712,0,30843834,10127980,0,12954844,0.0,0.0,12954844.000000004,0.0,12954843.999999944
26-Mar,2241319,0,6759812,11555269,13474414,10770418,7223521,14107000,0,13474414.0,2241319.000000003,2.7557689463719726e-10,6759812.0,2.8299837140366435e-08
27-Mar,5503275,0,0,8966609,14739111,0,0,15585873,5190870,14739111.0,5503275.000000004,5190869.999999994,4.069079295732081e-09,5190870.000000021
28-Mar,4221623,2060943,17005141,1384933,13796417,0,722434,0,4165654,13796416.999999996,4221623.0,4165653.999999998,17005141.000000007,4165654.0000000303
29-Mar,25600406,12674759,6311381,0,0,0,2915211,6596774,5500000,3.814649064982252e-09,25600406.0,5499999.999999996,6311380.999999999,5499999.999999986
30-Mar,0,3293968,5349280,1887874,2194098,5648819,3509329,9799440,10500000,2194097.999999993,4.08637697098059e-09,10500000.0,5349279.999999999,10499999.99999997
31-Mar,7857701,7338563,8852040,2903459,240669,8312918,0,2443644,6465311,240668.99999999785,7857700.999999999,6465311.000000002,8852040.000000002,6465310.999999981
01-Apr,0,8730867,0,6939189,11752133,168135,7962049,0,7478205,11752132.999999993,0.0,7478204.999999997,9.804352885112164e-10,7478204.999999999
02-Apr,10262781,117126,118295,10534258,16908286,7810350,9500000,14411680,5451420,16908286.0,10262781.0,5451419.999999996,118295.00000000182,5451420.00000003
03-Apr,10471229,0,10288653,16879954,5277327,0,0,2338547,776940,5277327.0,10471229.0,776940.0000000059,10288652.999999996,776940.0000000335
04-Apr,4119118,0,6895760,8977110,313400,16827453,3924061,12772865,6189680,313399.99999999825,4119118.0000000033,6189680.000000005,6895759.999999996,6189679.999999983
05-Apr,0,17922268,3450144,0,2365073,0,2673064,5965643,5115632,2365072.999999998,1.6362911904620323e-09,5115631.999999995,3450143.999999999,5115631.999999965
06-Apr,7123956,30877129,1481847,2226892,0,9667984,8282991,0,0,6.30445877621619e-09,7123955.999999996,0.0,1481846.9999999965,0.0
07-Apr,4569761,13357413,4384319,247336,78712,6443582,25125348,348118,13343185,78711.99999998999,4569760.999999998,13343185.0,4384318.999999992,13343184.999999948
08-Apr,0,7558075,0,2174827,6197676,15197123,90954,24611997,10019857,6197676.000000002,7.700985861029306e-09,10019856.999999993,2.2637323127128184e-09,10019856.999999966
09-Apr,2684223,4310771,3839870,3981984,13631216,0,7092592,9856182,3848620,13631215.999999996,2684223.000000001,3848619.9999999935,3839870.000000001,3848620.000000009
10-Apr,9837553,0,3222667,21130363,12362749,5797413,0,12070252,22986936,12362749.0,9837553.000000011,22986936.000000007,3222667.000000004,22986936.000000037
11-Apr,3772721,0,12905610,0,0,0,0,0,5425095,0.0,3772721.0,5425095.000000003,12905609.999999998,5425094.999999984
12-Apr,40665,14796660,244591,446520,1534845,0,14856557,9527536,0,1534844.999999995,40664.99999999942,0.0,244590.9999999927,0.0
13-Apr,0,3893012,5899287,1128240,0,0,9374434,6030460,0,0.0,0.0,3.868192095868488e-10,5899286.999999994,0.0
14-Apr,11800818,6601210,1562839,1144754,14454598,19177718,11537130,2808995,9016423,14454598.0,11800817.999999996,9016422.999999996,1562839.0000000035,9016423.0
15-Apr,3833314,2143780,10340,12376860,13111348,8514827,1364828,0,6947340,13111347.999999996,3833314.0,6947340.0,10340.00000000374,6947340.000000019
16-Apr,4080285,7059950,7509354,11100834,10873680,8526188,4428302,3792692,10734891,10873680.0,4080285.000000003,10734891.0,7509354.000000003,10734891.000000011
17-Apr,3964133,0,8024630,8400451,2768885,0,0,0,7387005,2768884.9999999925,3964133.0000000014,7387005.000000004,8024629.999999999,7387004.999999998
18-Apr,3999263,6969255,7054838,1176575,6250810,270090,37991,915027,10404324,6250809.999999994,3999263.000000001,10404323.999999996,7054838.000000004,10404323.999999985
19-Apr,0,3857661,2102867,452266,17568872,0,9056320,15475606,0,17568871.999999993,1.4631721638624375e-09,0.0,2102867.0000000023,2.3686880012974143e-08
20-Apr,0,6022618,7133422,1561,10867845,9975267,9610839,7590746,15278720,10867844.999999993,3.965726135253599e-09,15278719.999999996,7133422.000000002,15278719.999999985
21-Apr,6198955,3970976,6734510,0,202952,2954908,13365861,6477836,5163834,202951.9999999915,6198955.0,5163834.000000001,6734509.999999994,5163833.999999971
22-Apr,6893904,2682217,541240,16892031,6995830,4753108,9988358,0,4541272,6995829.999999996,6893903.999999998,4541272.000000004,541239.9999999958,4541272.000000011
23-Apr,18570416,5654586,0,3140927,14555521,0,98720,0,0,14555521.000000004,18570416.0,0.0,5.900801625102758e-09,3.396765671611968e-08
24-Apr,11501394,0,585400,8422211,7776422,0,867157,924858,16404708,7776421.999999995,11501394.0,16404708.0,585400.0000000034,16404708.0
25-Apr,1860,25000000,9100113,0,6043279,0,0,7423934,12599960,6043279.000000002,1860.000000005787,12599959.999999993,9100113.000000004,12599959.999999974
26-Apr,10751870,18619421,0,0,16055969,24412342,2009226,8862782,0,16055969.000000011,10751869.999999996,0.0,7.523340173065662e-09,1.4402838693105847e-08
27-Apr,141987,3990259,6110488,19285698,0,2278409,8521784,0,8955000,0.0,141987.00000000288,8955000.000000007,6110487.999999993,8954999.999999993
28-Apr,8914017,2401330,11702575,6189235,0,138899,9872572,1789156,902878,0.0,8914016.999999996,902878.0000000048,11702574.999999993,902877.9999999965
29-Apr,1157,9428769,1001349,7416,12791069,8586458,0,4666734,5896617,12791069.0,1157.000000000309,5896616.999999993,1001349.000000006,5896616.99999999
30-Apr,3289106,2919108,3068096,14811099,9630003,0,104654,3770382,23014418,9630002.999999996,3289106.0000000075,23014418.000000004,3068096.000000004,23014418.00000001
01-May,13118119,0,7726570,13212177,7845577,0,18641320,407584,2410560,7845576.999999995,13118118.999999996,2410560.000000005,7726569.999999992,2410560.000000025
02-May,44467134,3104284,6949290,0,435142,758457,888606,21684966,19066865,435142.0000000078,44467134.00000001,19066865.0,6949290.000000003,19066865.000000007
03-May,2634391,13286178,10458068,0,3000,0,2183933,19737332,7441024,2999.999999999469,2634391.0000000075,7441023.999999995,10458067.999999998,7441023.999999968
04-May,9240000,6031815,29148655,2639036,1930543,0,43925,4052961,1329411,1930542.999999998,9240000.000000004,1329411.000000005,29148655.0,1329411.0000000235
05-May,10308242,6212960,8028760,3800000,1494738,8690332,0,1295851,13750727,1494737.9999999972,10308242.0,13750727.0,8028760.000000002,13750726.999999978
06-May,0,8167868,0,0,23756367,8385239,22512619,18054581,5809595,23756367.0,1.9053078133235123e-09,5809594.999999989,1.507942215539515e-09,5809595.000000012
07-May,10239777,8496000,0,11873046,54800,0,0,808633,0,54800.00000000047,10239776.999999996,1.7171259969472883e-09,0.0,0.0
08-May,9075373,44000000,0,13089081,20274156,0,18722271,0,2162453,20274156.00000001,9075372.999999996,2162452.9999999898,5.311449058353901e-10,2162453.0000000265
09-May,4143796,996195,9542348,3017754,10228957,1803932,9175992,1608000,5272063,10228956.999999993,4143795.999999999,5272062.999999999,9542348.0,5272063.000000007
10-May,0,18639602,15000000,0,0,25369,26965400,6437660,3869043,0.0,9.198408752266048e-10,3869043.0000000014,14999999.999999989,3869042.9999999674
11-May,8852000,7887640,4120873,4265127,1283674,2362953,145800,0,0,1283673.999999998,8851999.999999996,0.0,4120872.999999999,0.0
12-May,8686239,3310694,7909923,4927010,104400,7323704,7631446,6544982,5904168,104399.9999999957,8686239.0,5904168.000000003,7909922.999999995,5904167.999999982
13-May,5473215,34331314,121076,274512,13126345,0,0,0,4132088,13126345.000000011,5473214.999999999,4132087.999999987,121076.00000000684,4132087.9999999884
14-May,5168248,5690868,0,10597716,9012213,0,170261,7992657,9717608,9012213.0,5168248.000000004,9717607.999999996,2.19915818888694e-09,9717608.0
15-May,8905529,173718,24487599,9146930,11436130,8103585,8700772,4353078,1683923,11436130.0,8905529.0,1683923.0000000056,24487599.0,1683923.0000000505
16-May,3277649,0,0,5522686,124917,511338,9550660,9964132,5444071,124916.99999999144,3277649.0000000014,5444071.0,0.0,5444070.999999969
17-May,48368743,30675001,191968,0,1426470,0,28796966,1420841,5268740,1426470.0000000116,48368742.99999999,5268739.9999999935,191967.99999999156,5268739.999999987
