Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
07-Mar,3415058,2873536,0,530420,0,5250223,9415841,4973216,4620295,5232578.443590889,5261776.263003977,4948129.122619463,4616724.724340341,9331522.95353527
08-Mar,11499962,17034032,4516087,5000120,1615278,6089145,0,11353240,1571100,6330950.354814718,6404561.983202529,11830377.91401608,1411935.9221176642,78354.12369467755
09-Mar,0,8575718,2524055,126137,0,2063294,5775998,782060,5178187,2069980.55605828,2097317.3140185466,936118.6446997982,5448131.110507115,5731227.009016483
10-Mar,7632717,4835743,40927486,2940812,7885955,11238708,12909330,2213039,4994679,11032950.544010071,11102162.274512785,2172274.798692569,5016093.823029972,13016911.900643127
11-Mar,0,6557763,9217913,1875130,12030138,3108832,13310000,9682049,8413010,3007890.455262938,2963125.6901117475,9117022.448293053,8233922.298062087,14999638.357488485
12-Mar,1641499,0,0,3166310,15768302,7220103,5688998,6949262,0,7159794.122909875,7164995.309679417,7000271.181612833,312765.33655016846,5615100.500498907
13-Mar,5298666,8054474,3190389,18350955,10253635,0,10072100,40164430,2953171,0.0,0.0,36017856.466744795,2914882.910773144,10275649.577035468
14-Mar,0,12714458,2152380,0,7342945,0,7260491,3734000,4244050,34829.27648316127,25097.971174717462,3494315.9608772886,3963915.119299108,7082786.26796447
15-Mar,3431071,2026206,2170675,11948180,0,162962,3229763,0,23100457,679601.0149766996,821785.5063673094,13532.43678031209,24419983.06892156,3363883.556073873
16-Mar,0,2151988,4140558,1083864,216540,25249987,6937640,10526000,4363,31053963.40406575,31847850.85451092,9956293.13326641,148877.93341941616,7099037.099136654
17-Mar,7236120,4548828,4462759,0,0,18065610,189913,7657199,11893872,18002176.192171007,18877859.412302937,7734184.863630341,11835318.06303922,456726.50716176094
18-Mar,0,9480250,5219371,17452000,21839980,3088670,4026633,0,4227691,3139450.2227740013,3137446.7134976625,521136.30214961775,4401061.316904726,3862950.256798486
19-Mar,962042,34763,7875000,8217789,9503405,0,0,7552217,1827295,0.0,0.0,8027973.957925808,1542070.2243178233,0.0
20-Mar,5963874,28797,23016,13907692,6406867,13791196,7296562,143585,2965151,14136617.295135882,14291167.830077903,142172.15101802716,2889492.176724688,7160187.163382426
21-Mar,2200615,42692,6701726,1011336,0,0,42254,0,14207657,0.0,0.0,0.0,12865558.431750972,36803.494133160144
22-Mar,5183863,12778308,9077472,8610475,7003930,1282147,10579858,11471813,0,1239697.486209853,1251102.3358885895,11512883.52517938,37182.71870661733,10848829.593877906
23-Mar,1775323,3467479,21005685,23288873,3087956,2342987,20815222,374844,8360520,2289615.831186219,2333803.760479673,315019.99665209634,8494419.273960458,24780141.310742076
24-Mar,5782927,1519628,6102755,8762610,4869420,7875000,320574,4905000,10949304,7793886.13330159,7835946.925485391,4918239.49862316,10887860.192583663,261662.3861828771
25-Mar,0,4663239,0,3731712,0,30843834,10127980,0,12954844,28888550.07091927,29192542.37347364,0.0,12775808.690480854,9736099.148084275
26-Mar,2241319,0,6759812,11555269,13474414,10770418,7223521,14107000,0,10983172.511820843,11085016.31842096,13287827.642118178,0.0,7133293.78064983
27-Mar,5503275,0,0,8966609,14739111,0,0,15585873,5190870,0.0,0.0,16945044.51475554,5380073.843504859,0.0
28-Mar,4221623,2060943,17005141,1384933,13796417,0,722434,0,4165654,0.0,55905.166604310296,1935.651380375897,4195406.346361793,656719.650366351
29-Mar,25600406,12674759,6311381,0,0,0,2915211,6596774,5500000,0.0,0.0,7369918.344630229,5428664.266007172,3193932.2192052524
30-Mar,0,3293968,5349280,1887874,2194098,5648819,3509329,9799440,10500000,5618250.300334057,5573045.937195262,9317768.657723311,10397867.51367819,3687412.85860486
31-Mar,7857701,7338563,8852040,2903459,240669,8312918,0,2443644,6465311,8248258.347117782,8252316.376487833,2479573.3475809544,6368649.160814155,27771.33543804747
01-Apr,0,8730867,0,6939189,11752133,168135,7962049,0,7478205,115297.76324105127,96551.78684889512,0.0,7402325.401011017,8545963.4456897
02-Apr,10262781,117126,118295,10534258,16908286,7810350,9500000,14411680,5451420,7757505.703198069,7769453.843892818,14590045.31081528,5408701.4392598,9012305.706105398
03-Apr,10471229,0,10288653,16879954,5277327,0,0,2338547,776940,0.0,0.0,2124454.497299741,778549.0831742712,0.0
04-Apr,4119118,0,6895760,8977110,313400,16827453,3924061,12772865,6189680,17017443.000555508,17604245.563464582,12781872.368595043,6292156.132640721,4059827.5262403633
05-Apr,0,17922268,3450144,0,2365073,0,2673064,5965643,5115632,20960.11320279804,67077.98129134317,6030058.791851346,4813295.910046616,2542797.4746626574
06-Apr,7123956,30877129,1481847,2226892,0,9667984,8282991,0,0,9384863.112741925,9423451.403053667,0.0,646384.7785883548,8359854.3784179725
07-Apr,4569761,13357413,4384319,247336,78712,6443582,25125348,348118,13343185,6609264.785303054,6659831.400818992,32267.6241701746,13881039.270697584,26401444.262931075
08-Apr,0,7558075,0,2174827,6197676,15197123,90954,24611997,10019857,14507426.274178889,14529533.895760538,23957397.25086413,9865444.940195102,0.0
09-Apr,2684223,4310771,3839870,3981984,13631216,0,7092592,9856182,3848620,214693.7151618884,284862.6823870711,9891929.61191478,3840005.334343723,7135341.866838907
10-Apr,9837553,0,3222667,21130363,12362749,5797413,0,12070252,22986936,6421162.930736906,6580831.46898914,13003633.720464673,23687534.78321182,124604.20594435124
11-Apr,3772721,0,12905610,0,0,0,0,0,5425095,138126.00071660092,127873.385908965,23737.47778776492,5320338.513029653,125602.78478092822
12-Apr,40665,14796660,244591,446520,1534845,0,14856557,9527536,0,0.0,14951.869200655066,9304342.96107182,0.0,14096112.023955438
13-Apr,0,3893012,5899287,1128240,0,0,9374434,6030460,0,0.0,0.0,6380187.661801454,155871.5743890211,9235005.0331751
